x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	07	28	02	03
x	FR	2007	12	18	17	05
x	LR	2025	07	27	04	54
x	E7	2025	07	28	02	03
x	SR	2916398
x	S7	8985
x	NC	876000
x	C7	0
x	FL	1712534
x	F7	6417
x	RR	360
x	R7	0
x	NH	129912
x	H7	648
x	BT	57520368399
x	B7	0
1	Rr	475825	16.316	2025
1	Rr	836367	28.678	2024
1	Rr	511208	17.529	2023
1	Rr	82334	2.823	2022
1	Rr	98917	3.392	2021
1	Rr	89380	3.065	2020
1	Rr	80088	2.746	2019
1	Rr	68927	2.363	2018
1	Rr	60168	2.063	2017
1	Rr	73316	2.514	2016
1	Rr	80796	2.770	2015
1	Rr	110773	3.798	2014
1	Rr	65173	2.235	2013
1	Rr	60742	2.083	2012
1	Rr	57015	1.955	2011
1	Rr	22139	0.759	2010
1	Rr	69710	2.390	2009
1	Rr	71820	2.463	2008
1	Rr	1700	0.058	2007
1	*BT	R	836367	2024
Q	Rr	54051	1.853	2025	3
Q	Rr	216126	7.411	2025	2
Q	Rr	205648	7.051	2025	1
Q	Rr	202145	6.931	2024	4
Q	Rr	220334	7.555	2024	3
Q	Rr	204456	7.011	2024	2
Q	Rr	209432	7.181	2024	1
Q	Rr	182268	6.250	2023	4
Q	Rr	165939	5.690	2023	3
Q	Rr	135306	4.639	2023	2
Q	Rr	27695	0.950	2023	1
Q	Rr	20307	0.696	2022	4
Q	Rr	20362	0.698	2022	3
Q	Rr	21795	0.747	2022	2
Q	Rr	19870	0.681	2022	1
Q	Rr	21154	0.725	2021	4
Q	Rr	26826	0.920	2021	3
Q	Rr	30675	1.052	2021	2
Q	Rr	20262	0.695	2021	1
Q	Rr	22199	0.761	2020	4
Q	Rr	23882	0.819	2020	3
Q	Rr	21656	0.743	2020	2
Q	Rr	21643	0.742	2020	1
Q	Rr	19098	0.655	2019	4
Q	Rr	19668	0.674	2019	3
Q	Rr	19827	0.680	2019	2
Q	Rr	21495	0.737	2019	1
Q	Rr	18129	0.622	2018	4
Q	Rr	17138	0.588	2018	3
Q	Rr	16928	0.580	2018	2
Q	Rr	16732	0.574	2018	1
Q	Rr	15937	0.546	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.577	2017	2
Q	Rr	27400	0.940	2017	1
Q	Rr	22114	0.758	2016	4
Q	Rr	17621	0.604	2016	3
Q	Rr	15878	0.544	2016	2
Q	Rr	17703	0.607	2016	1
Q	Rr	16575	0.568	2015	4
Q	Rr	22104	0.758	2015	3
Q	Rr	22485	0.771	2015	2
Q	Rr	19632	0.673	2015	1
Q	Rr	21142	0.725	2014	4
Q	Rr	22272	0.764	2014	3
Q	Rr	31453	1.078	2014	2
Q	Rr	35906	1.231	2014	1
Q	Rr	16436	0.564	2013	4
Q	Rr	15216	0.522	2013	3
Q	Rr	16545	0.567	2013	2
Q	Rr	16976	0.582	2013	1
Q	Rr	16578	0.568	2012	4
Q	Rr	12511	0.429	2012	3
Q	Rr	15816	0.542	2012	2
Q	Rr	15837	0.543	2012	1
Q	Rr	15444	0.530	2011	4
Q	Rr	17386	0.596	2011	3
Q	Rr	9395	0.322	2011	2
Q	Rr	14790	0.507	2011	1
Q	Rr	1603	0.055	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.482	2010	2
Q	Rr	6489	0.223	2010	1
Q	Rr	16350	0.561	2009	4
Q	Rr	18220	0.625	2009	3
Q	Rr	17115	0.587	2009	2
Q	Rr	18025	0.618	2009	1
Q	Rr	15905	0.545	2008	4
Q	Rr	15660	0.537	2008	3
Q	Rr	22448	0.770	2008	2
Q	Rr	17807	0.611	2008	1
Q	Rr	1700	0.058	2007	4
Q	*BT	R	220334	2024	3
m	Rr	54051	1.853	2025	07
m	Rr	77454	2.656	2025	06
m	Rr	66558	2.282	2025	05
m	Rr	72114	2.473	2025	04
m	Rr	70528	2.418	2025	03
m	Rr	57744	1.980	2025	02
m	Rr	77376	2.653	2025	01
m	Rr	57890	1.985	2024	12
m	Rr	63975	2.194	2024	11
m	Rr	80280	2.753	2024	10
m	Rr	73644	2.525	2024	09
m	Rr	72041	2.470	2024	08
m	Rr	74649	2.560	2024	07
m	Rr	69378	2.379	2024	06
m	Rr	72365	2.481	2024	05
m	Rr	62713	2.150	2024	04
m	Rr	66782	2.290	2024	03
m	Rr	68592	2.352	2024	02
m	Rr	74058	2.539	2024	01
m	Rr	54270	1.861	2023	12
m	Rr	61278	2.101	2023	11
m	Rr	66720	2.288	2023	10
m	Rr	51132	1.753	2023	09
m	Rr	54561	1.871	2023	08
m	Rr	60246	2.066	2023	07
m	Rr	66204	2.270	2023	06
m	Rr	60120	2.061	2023	05
m	Rr	8982	0.308	2023	04
m	Rr	10848	0.372	2023	03
m	Rr	8360	0.287	2023	02
m	Rr	8487	0.291	2023	01
m	Rr	6950	0.238	2022	12
m	Rr	6349	0.218	2022	11
m	Rr	7008	0.240	2022	10
m	Rr	6740	0.231	2022	09
m	Rr	6863	0.235	2022	08
m	Rr	6759	0.232	2022	07
m	Rr	6567	0.225	2022	06
m	Rr	8427	0.289	2022	05
m	Rr	6801	0.233	2022	04
m	Rr	6380	0.219	2022	03
m	Rr	6175	0.212	2022	02
m	Rr	7315	0.251	2022	01
m	Rr	7667	0.263	2021	12
m	Rr	7097	0.243	2021	11
m	Rr	6390	0.219	2021	10
m	Rr	6059	0.208	2021	09
m	Rr	9092	0.312	2021	08
m	Rr	11675	0.400	2021	07
m	Rr	10152	0.348	2021	06
m	Rr	10231	0.351	2021	05
m	Rr	10292	0.353	2021	04
m	Rr	7948	0.273	2021	03
m	Rr	5800	0.199	2021	02
m	Rr	6514	0.223	2021	01
m	Rr	8069	0.277	2020	12
m	Rr	6579	0.226	2020	11
m	Rr	7551	0.259	2020	10
m	Rr	8028	0.275	2020	09
m	Rr	7741	0.265	2020	08
m	Rr	8113	0.278	2020	07
m	Rr	7317	0.251	2020	06
m	Rr	6898	0.237	2020	05
m	Rr	7441	0.255	2020	04
m	Rr	7524	0.258	2020	03
m	Rr	7322	0.251	2020	02
m	Rr	6797	0.233	2020	01
m	Rr	6573	0.225	2019	12
m	Rr	5917	0.203	2019	11
m	Rr	6608	0.227	2019	10
m	Rr	6791	0.233	2019	09
