x	VE	analog 5.24
x	HN	gtaeronautics.com
W	Rr	1427	0.252	2016	02	07
W	Rr	1359	0.240	2016	01	31
W	Rr	1708	0.302	2016	01	24
W	Rr	1476	0.261	2016	01	17
W	Rr	1563	0.276	2016	01	10
W	Rr	1381	0.244	2016	01	03
W	Rr	1273	0.225	2015	12	27
W	Rr	1084	0.191	2015	12	20
W	Rr	1344	0.237	2015	12	13
W	Rr	1336	0.236	2015	12	06
W	Rr	1123	0.198	2015	11	29
W	Rr	960	0.169	2015	11	22
W	Rr	1337	0.236	2015	11	15
W	Rr	1400	0.247	2015	11	08
W	Rr	1383	0.244	2015	11	01
W	Rr	1250	0.221	2015	10	25
W	Rr	1366	0.241	2015	10	18
W	Rr	1367	0.241	2015	10	11
W	Rr	1214	0.214	2015	10	04
W	Rr	1152	0.203	2015	09	27
W	Rr	1387	0.245	2015	09	20
W	Rr	1655	0.292	2015	09	13
W	Rr	1526	0.269	2015	09	06
W	Rr	1242	0.219	2015	08	30
W	Rr	1800	0.318	2015	08	23
W	Rr	1527	0.270	2015	08	16
W	Rr	1386	0.245	2015	08	09
W	Rr	1593	0.281	2015	08	02
W	Rr	1567	0.277	2015	07	26
W	Rr	1980	0.350	2015	07	19
W	Rr	2180	0.385	2015	07	12
W	Rr	2008	0.354	2015	07	05
W	Rr	2297	0.406	2015	06	28
W	Rr	1556	0.275	2015	06	21
W	Rr	1380	0.244	2015	06	14
W	Rr	2013	0.355	2015	06	07
W	Rr	1651	0.291	2015	05	31
W	Rr	1224	0.216	2015	05	24
W	Rr	1355	0.239	2015	05	17
W	Rr	1179	0.208	2015	05	10
W	Rr	1436	0.254	2015	05	03
W	Rr	1671	0.295	2015	04	26
W	Rr	1878	0.332	2015	04	19
W	Rr	2326	0.411	2015	04	12
W	Rr	2636	0.465	2015	04	05
W	Rr	2297	0.406	2015	03	29
W	Rr	1237	0.218	2015	03	22
W	Rr	1453	0.257	2015	03	15
W	Rr	1399	0.247	2015	03	08
W	Rr	1287	0.227	2015	03	01
W	Rr	1249	0.220	2015	02	22
W	Rr	1373	0.242	2015	02	15
W	Rr	1790	0.316	2015	02	08
W	Rr	1672	0.295	2015	02	01
W	Rr	1543	0.272	2015	01	25
W	Rr	1463	0.258	2015	01	18
W	Rr	1696	0.299	2015	01	11
W	Rr	1707	0.301	2015	01	04
W	Rr	1833	0.324	2014	12	28
W	Rr	1335	0.236	2014	12	21
W	Rr	1644	0.290	2014	12	14
W	Rr	1541	0.272	2014	12	07
W	Rr	1335	0.236	2014	11	30
W	Rr	1262	0.223	2014	11	23
W	Rr	2009	0.355	2014	11	16
W	Rr	1566	0.276	2014	11	09
W	Rr	1814	0.320	2014	11	02
W	Rr	1452	0.256	2014	10	26
W	Rr	1642	0.290	2014	10	19
W	Rr	1795	0.317	2014	10	12
W	Rr	1836	0.324	2014	10	05
W	Rr	1662	0.293	2014	09	28
W	Rr	1843	0.325	2014	09	21
W	Rr	1678	0.296	2014	09	14
W	Rr	1598	0.282	2014	09	07
W	Rr	1418	0.250	2014	08	31
W	Rr	1584	0.280	2014	08	24
W	Rr	1571	0.277	2014	08	17
W	Rr	1727	0.305	2014	08	10
W	Rr	1927	0.340	2014	08	03
W	Rr	1691	0.299	2014	07	27
W	Rr	1702	0.300	2014	07	20
W	Rr	1624	0.287	2014	07	13
W	Rr	1831	0.323	2014	07	06
W	Rr	1867	0.330	2014	06	29
W	Rr	1927	0.340	2014	06	22
W	Rr	2134	0.377	2014	06	15
W	Rr	4851	0.856	2014	06	08
W	Rr	2293	0.405	2014	06	01
W	Rr	3180	0.561	2014	05	25
W	Rr	1468	0.259	2014	05	18
W	Rr	1808	0.319	2014	05	11
W	Rr	1998	0.353	2014	05	04
W	Rr	1876	0.331	2014	04	27
W	Rr	2330	0.411	2014	04	20
W	Rr	2565	0.453	2014	04	13
W	Rr	2652	0.468	2014	04	06
W	Rr	2574	0.454	2014	03	30
W	Rr	1186	0.209	2014	03	23
W	Rr	1305	0.230	2014	03	16
W	Rr	2273	0.401	2014	03	09
W	Rr	2231	0.394	2014	03	02
W	Rr	1925	0.340	2014	02	23
W	Rr	7060	1.246	2014	02	16
W	Rr	2854	0.504	2014	02	09
W	Rr	3190	0.563	2014	02	02
W	Rr	3743	0.661	2014	01	26
W	Rr	3643	0.643	2014	01	19
W	Rr	2961	0.523	2014	01	12
W	Rr	2319	0.409	2014	01	05
W	Rr	981	0.173	2013	12	29
W	Rr	1108	0.196	2013	12	22
W	Rr	1226	0.216	2013	12	15
W	Rr	1285	0.227	2013	12	08
W	Rr	1289	0.228	2013	12	01
W	Rr	1404	0.248	2013	11	24
W	Rr	1142	0.202	2013	11	17
W	Rr	1334	0.236	2013	11	10
W	Rr	1277	0.225	2013	11	03
W	Rr	1035	0.183	2013	10	27
W	Rr	1309	0.231	2013	10	20
W	Rr	1302	0.230	2013	10	13
W	Rr	1432	0.253	2013	10	06
W	Rr	1178	0.208	2013	09	29
W	Rr	947	0.167	2013	09	22
W	Rr	1254	0.221	2013	09	15
W	Rr	1099	0.194	2013	09	08
W	Rr	1053	0.186	2013	09	01
W	Rr	1010	0.178	2013	08	25
W	Rr	1102	0.195	2013	08	18
W	Rr	1063	0.188	2013	08	11
W	Rr	1105	0.195	2013	08	04
W	Rr	1377	0.243	2013	07	28
W	Rr	1498	0.264	2013	07	21
W	Rr	1295	0.229	2013	07	14
W	Rr	1237	0.218	2013	07	07
W	Rr	1003	0.177	2013	06	30
W	Rr	1275	0.225	2013	06	23
W	Rr	1072	0.189	2013	06	16
W	Rr	1249	0.220	2013	06	09
W	Rr	1521	0.269	2013	06	02
W	Rr	1256	0.222	2013	05	26
W	Rr	1091	0.193	2013	05	19
W	Rr	1359	0.240	2013	05	12
W	Rr	1130	0.199	2013	05	05
W	Rr	1215	0.214	2013	04	28
W	Rr	1368	0.242	2013	04	21
W	Rr	1318	0.233	2013	04	14
W	Rr	1408	0.249	2013	04	07
W	Rr	1277	0.225	2013	03	31
W	Rr	1452	0.256	2013	03	24
W	Rr	1418	0.250	2013	03	17
W	Rr	1217	0.215	2013	03	10
W	Rr	1490	0.263	2013	03	03
W	Rr	1353	0.239	2013	02	24
W	Rr	1268	0.224	2013	02	17
W	Rr	1274	0.225	2013	02	10
W	Rr	1153	0.204	2013	02	03
W	Rr	1266	0.223	2013	01	27
W	Rr	1271	0.224	2013	01	20
W	Rr	1449	0.256	2013	01	13
W	Rr	1253	0.221	2013	01	06
W	Rr	1309	0.231	2012	12	30
W	Rr	1156	0.204	2012	12	23
W	Rr	1336	0.236	2012	12	16
W	Rr	1575	0.278	2012	12	09
W	Rr	1087	0.192	2012	12	02
W	Rr	1376	0.243	2012	11	25
W	Rr	1136	0.201	2012	11	18
W	Rr	1341	0.237	2012	11	11
W	Rr	1418	0.250	2012	11	04
W	Rr	1103	0.195	2012	10	28
W	Rr	1200	0.212	2012	10	21
W	Rr	1382	0.244	2012	10	14
W	Rr	1127	0.199	2012	10	07
W	Rr	1187	0.210	2012	09	30
W	Rr	1172	0.207	2012	09	23
W	Rr	1034	0.183	2012	09	16
W	Rr	944	0.167	2012	09	09
W	Rr	958	0.169	2012	09	02
W	Rr	734	0.130	2012	08	26
W	Rr	881	0.156	2012	08	19
W	Rr	874	0.154	2012	08	12
W	Rr	973	0.172	2012	08	05
W	Rr	1010	0.178	2012	07	29
W	Rr	943	0.166	2012	07	22
W	Rr	1089	0.192	2012	07	15
W	Rr	888	0.157	2012	07	08
W	Rr	845	0.149	2012	07	01
W	Rr	1070	0.189	2012	06	24
W	Rr	1050	0.185	2012	06	17
W	Rr	1271	0.224	2012	06	10
W	Rr	957	0.169	2012	06	03
W	Rr	1249	0.220	2012	05	27
W	Rr	1055	0.186	2012	05	20
W	Rr	1392	0.246	2012	05	13
W	Rr	1140	0.201	2012	05	06
W	Rr	1807	0.319	2012	04	29
W	Rr	1225	0.216	2012	04	22
W	Rr	1264	0.223	2012	04	15
W	Rr	1075	0.190	2012	04	08
W	Rr	1261	0.223	2012	04	01
W	Rr	1345	0.237	2012	03	25
W	Rr	1254	0.221	2012	03	18
W	Rr	1478	0.261	2012	03	11
W	Rr	1503	0.265	2012	03	04
W	Rr	1532	0.270	2012	02	26
W	Rr	1464	0.258	2012	02	19
W	Rr	1154	0.204	2012	02	12
W	Rr	1240	0.219	2012	02	05
W	Rr	1088	0.192	2012	01	29
W	Rr	1125	0.199	2012	01	22
W	Rr	60	0.011	2012	01	15
W	Rr	1472	0.260	2012	01	08
W	Rr	1122	0.198	2012	01	01
W	Rr	888	0.157	2011	12	25
W	Rr	1360	0.240	2011	12	18
W	Rr	1486	0.262	2011	12	11
W	Rr	1330	0.235	2011	12	04
W	Rr	1094	0.193	2011	11	27
W	Rr	1062	0.187	2011	11	20
W	Rr	1123	0.198	2011	11	13
W	Rr	975	0.172	2011	11	06
W	Rr	1264	0.223	2011	10	30
W	Rr	1140	0.201	2011	10	23
W	Rr	1211	0.214	2011	10	16
W	Rr	1236	0.218	2011	10	09
W	Rr	1128	0.199	2011	10	02
W	Rr	1083	0.191	2011	09	25
W	Rr	1451	0.256	2011	09	18
W	Rr	1278	0.226	2011	09	11
W	Rr	1219	0.215	2011	09	04
W	Rr	1316	0.232	2011	08	28
W	Rr	1119	0.198	2011	08	21
W	Rr	1484	0.262	2011	08	14
W	Rr	1671	0.295	2011	08	07
W	Rr	1319	0.233	2011	07	31
W	Rr	1197	0.211	2011	07	24
W	Rr	1504	0.266	2011	07	17
W	Rr	1367	0.241	2011	07	10
W	Rr	1205	0.213	2011	07	03
W	Rr	1333	0.235	2011	06	26
W	Rr	1059	0.187	2011	06	19
W	Rr	1353	0.239	2011	06	12
W	Rr	1275	0.225	2011	06	05
W	Rr	983	0.174	2011	05	29
W	Rr	1262	0.223	2011	05	22
W	Rr	1374	0.243	2011	05	15
W	Rr	1076	0.190	2011	05	08
W	Rr	0	0.000	2011	05	01
W	Rr	0	0.000	2011	04	24
W	Rr	0	0.000	2011	04	17
W	Rr	0	0.000	2011	04	10
W	Rr	0	0.000	2011	04	03
W	Rr	0	0.000	2011	03	27
W	Rr	24	0.004	2011	03	20
W	Rr	1317	0.233	2011	03	13
W	Rr	1258	0.222	2011	03	06
W	Rr	1372	0.242	2011	02	27
W	Rr	1226	0.216	2011	02	20
W	Rr	1524	0.269	2011	02	13
W	Rr	1366	0.241	2011	02	06
W	Rr	958	0.169	2011	01	30
W	Rr	1273	0.225	2011	01	23
W	Rr	1560	0.275	2011	01	16
W	Rr	1472	0.260	2011	01	09
W	Rr	1310	0.231	2011	01	02
W	Rr	798	0.141	2010	12	26
W	Rr	935	0.165	2010	12	19
W	Rr	0	0.000	2010	12	12
W	Rr	0	0.000	2010	12	05
W	Rr	0	0.000	2010	11	28
W	Rr	0	0.000	2010	11	21
W	Rr	0	0.000	2010	11	14
W	Rr	0	0.000	2010	11	07
W	Rr	0	0.000	2010	10	31
W	Rr	0	0.000	2010	10	24
W	Rr	0	0.000	2010	10	17
W	Rr	0	0.000	2010	10	10
W	Rr	0	0.000	2010	10	03
W	Rr	0	0.000	2010	09	26
W	Rr	0	0.000	2010	09	19
W	Rr	0	0.000	2010	09	12
W	Rr	0	0.000	2010	09	05
W	Rr	0	0.000	2010	08	29
W	Rr	0	0.000	2010	08	22
W	Rr	0	0.000	2010	08	15
W	Rr	0	0.000	2010	08	08
W	Rr	0	0.000	2010	08	01
W	Rr	0	0.000	2010	07	25
W	Rr	0	0.000	2010	07	18
W	Rr	0	0.000	2010	07	11
W	Rr	0	0.000	2010	07	04
W	Rr	15	0.003	2010	06	27
W	Rr	914	0.161	2010	06	20
W	Rr	1104	0.195	2010	06	13
W	Rr	1096	0.193	2010	06	06
W	Rr	1171	0.207	2010	05	30
W	Rr	1115	0.197	2010	05	23
W	Rr	1170	0.207	2010	05	16
W	Rr	1334	0.236	2010	05	09
W	Rr	1109	0.196	2010	05	02
W	Rr	1067	0.188	2010	04	25
W	Rr	1212	0.214	2010	04	18
W	Rr	1054	0.186	2010	04	11
W	Rr	1325	0.234	2010	04	04
W	Rr	811	0.143	2010	03	28
W	Rr	1195	0.211	2010	03	21
W	Rr	1338	0.236	2010	03	14
W	Rr	1113	0.196	2010	03	07
W	Rr	1103	0.195	2010	02	28
W	Rr	1290	0.228	2010	02	21
W	Rr	0	0.000	2010	02	14
W	Rr	0	0.000	2010	02	07
W	Rr	0	0.000	2010	01	31
W	Rr	0	0.000	2010	01	24
W	Rr	0	0.000	2010	01	17
W	Rr	0	0.000	2010	01	10
W	Rr	0	0.000	2010	01	03
W	Rr	78	0.014	2009	12	27
W	Rr	945	0.167	2009	12	20
W	Rr	1140	0.201	2009	12	13
W	Rr	1323	0.234	2009	12	06
W	Rr	1518	0.268	2009	11	29
W	Rr	1352	0.239	2009	11	22
W	Rr	1346	0.238	2009	11	15
W	Rr	1416	0.250	2009	11	08
W	Rr	1734	0.306	2009	11	01
W	Rr	1035	0.183	2009	10	25
W	Rr	1297	0.229	2009	10	18
W	Rr	1267	0.224	2009	10	11
W	Rr	1440	0.254	2009	10	04
W	Rr	1521	0.269	2009	09	27
W	Rr	1121	0.198	2009	09	20
W	Rr	875	0.154	2009	09	13
W	Rr	1032	0.182	2009	09	06
W	Rr	1283	0.226	2009	08	30
W	Rr	1214	0.214	2009	08	23
W	Rr	1402	0.248	2009	08	16
W	Rr	1260	0.222	2009	08	09
W	Rr	1404	0.248	2009	08	02
W	Rr	1380	0.244	2009	07	26
W	Rr	1470	0.260	2009	07	19
W	Rr	1750	0.309	2009	07	12
W	Rr	1847	0.326	2009	07	05
W	Rr	1889	0.333	2009	06	28
W	Rr	1312	0.232	2009	06	21
W	Rr	1093	0.193	2009	06	14
W	Rr	1363	0.241	2009	06	07
W	Rr	1251	0.221	2009	05	31
W	Rr	1352	0.239	2009	05	24
W	Rr	1133	0.200	2009	05	17
W	Rr	1887	0.333	2009	05	10
W	Rr	1369	0.242	2009	05	03
W	Rr	1089	0.192	2009	04	26
W	Rr	1160	0.205	2009	04	19
W	Rr	1189	0.210	2009	04	12
W	Rr	1529	0.270	2009	04	05
W	Rr	1155	0.204	2009	03	29
W	Rr	1230	0.217	2009	03	22
W	Rr	1029	0.182	2009	03	15
W	Rr	1234	0.218	2009	03	08
W	Rr	1486	0.262	2009	03	01
W	Rr	1470	0.260	2009	02	22
W	Rr	1198	0.211	2009	02	15
W	Rr	1802	0.318	2009	02	08
W	Rr	1653	0.292	2009	02	01
W	Rr	1346	0.238	2009	01	25
W	Rr	1431	0.253	2009	01	18
W	Rr	1678	0.296	2009	01	11
W	Rr	1591	0.281	2009	01	04
W	Rr	886	0.156	2008	12	28
W	Rr	1148	0.203	2008	12	21
W	Rr	1428	0.252	2008	12	14
W	Rr	1508	0.266	2008	12	07
W	Rr	1194	0.211	2008	11	30
W	Rr	1070	0.189	2008	11	23
W	Rr	1396	0.246	2008	11	16
W	Rr	1255	0.222	2008	11	09
W	Rr	1314	0.232	2008	11	02
W	Rr	1397	0.247	2008	10	26
W	Rr	1638	0.289	2008	10	19
W	Rr	1298	0.229	2008	10	12
W	Rr	430	0.076	2008	10	05
W	Rr	723	0.128	2008	09	28
W	Rr	1308	0.231	2008	09	21
W	Rr	1242	0.219	2008	09	14
W	Rr	1409	0.249	2008	09	07
W	Rr	1142	0.202	2008	08	31
W	Rr	1022	0.180	2008	08	24
W	Rr	1062	0.187	2008	08	17
W	Rr	1188	0.210	2008	08	10
W	Rr	1232	0.217	2008	08	03
W	Rr	1050	0.185	2008	07	27
W	Rr	1272	0.225	2008	07	20
W	Rr	1305	0.230	2008	07	13
W	Rr	1093	0.193	2008	07	06
W	Rr	1182	0.209	2008	06	29
W	Rr	1937	0.342	2008	06	22
W	Rr	1493	0.264	2008	06	15
W	Rr	1083	0.191	2008	06	08
W	Rr	1283	0.226	2008	06	01
W	Rr	1432	0.253	2008	05	25
W	Rr	1726	0.305	2008	05	18
W	Rr	1580	0.279	2008	05	11
W	Rr	2661	0.470	2008	05	04
W	Rr	3648	0.644	2008	04	27
W	Rr	1400	0.247	2008	04	20
