x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2024	04	02	02	02
x	FR	2007	12	18	17	05
x	LR	2024	04	01	04	53
x	E7	2024	04	02	02	02
x	SR	1810272
x	S7	7700
x	NC	624267
x	C7	0
x	FL	711795
x	F7	5654
x	RR	254
x	R7	0
x	NH	111034
x	H7	479
x	BT	57520368399
x	B7	0
1	Rr	206066	11.383	2024
1	Rr	511208	28.239	2023
1	Rr	82334	4.548	2022
1	Rr	98917	5.464	2021
1	Rr	89380	4.937	2020
1	Rr	80088	4.424	2019
1	Rr	68927	3.808	2018
1	Rr	60168	3.324	2017
1	Rr	73316	4.050	2016
1	Rr	80796	4.463	2015
1	Rr	110773	6.119	2014
1	Rr	65173	3.600	2013
1	Rr	60742	3.355	2012
1	Rr	57015	3.150	2011
1	Rr	22139	1.223	2010
1	Rr	69710	3.851	2009
1	Rr	71820	3.967	2008
1	Rr	1700	0.094	2007
1	*BT	R	511208	2023
Q	Rr	62	0.003	2024	2
Q	Rr	206004	11.380	2024	1
Q	Rr	182268	10.069	2023	4
Q	Rr	165939	9.167	2023	3
Q	Rr	135306	7.474	2023	2
Q	Rr	27695	1.530	2023	1
Q	Rr	20307	1.122	2022	4
Q	Rr	20362	1.125	2022	3
Q	Rr	21795	1.204	2022	2
Q	Rr	19870	1.098	2022	1
Q	Rr	21154	1.169	2021	4
Q	Rr	26826	1.482	2021	3
Q	Rr	30675	1.694	2021	2
Q	Rr	20262	1.119	2021	1
Q	Rr	22199	1.226	2020	4
Q	Rr	23882	1.319	2020	3
Q	Rr	21656	1.196	2020	2
Q	Rr	21643	1.196	2020	1
Q	Rr	19098	1.055	2019	4
Q	Rr	19668	1.086	2019	3
Q	Rr	19827	1.095	2019	2
Q	Rr	21495	1.187	2019	1
Q	Rr	18129	1.001	2018	4
Q	Rr	17138	0.947	2018	3
Q	Rr	16928	0.935	2018	2
Q	Rr	16732	0.924	2018	1
Q	Rr	15937	0.880	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.930	2017	2
Q	Rr	27400	1.514	2017	1
Q	Rr	22114	1.222	2016	4
Q	Rr	17621	0.973	2016	3
Q	Rr	15878	0.877	2016	2
Q	Rr	17703	0.978	2016	1
Q	Rr	16575	0.916	2015	4
Q	Rr	22104	1.221	2015	3
Q	Rr	22485	1.242	2015	2
Q	Rr	19632	1.084	2015	1
Q	Rr	21142	1.168	2014	4
Q	Rr	22272	1.230	2014	3
Q	Rr	31453	1.737	2014	2
Q	Rr	35906	1.983	2014	1
Q	Rr	16436	0.908	2013	4
Q	Rr	15216	0.841	2013	3
Q	Rr	16545	0.914	2013	2
Q	Rr	16976	0.938	2013	1
Q	Rr	16578	0.916	2012	4
Q	Rr	12511	0.691	2012	3
Q	Rr	15816	0.874	2012	2
Q	Rr	15837	0.875	2012	1
Q	Rr	15444	0.853	2011	4
Q	Rr	17386	0.960	2011	3
Q	Rr	9395	0.519	2011	2
Q	Rr	14790	0.817	2011	1
Q	Rr	1603	0.089	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.776	2010	2
Q	Rr	6489	0.358	2010	1
Q	Rr	16350	0.903	2009	4
Q	Rr	18220	1.006	2009	3
Q	Rr	17115	0.945	2009	2
Q	Rr	18025	0.996	2009	1
Q	Rr	15905	0.879	2008	4
Q	Rr	15660	0.865	2008	3
Q	Rr	22448	1.240	2008	2
Q	Rr	17807	0.984	2008	1
Q	Rr	1700	0.094	2007	4
Q	*BT	R	206004	2024	1
m	Rr	62	0.003	2024	04
m	Rr	63354	3.500	2024	03
m	Rr	68592	3.789	2024	02
m	Rr	74058	4.091	2024	01
m	Rr	54270	2.998	2023	12
m	Rr	61278	3.385	2023	11
m	Rr	66720	3.686	2023	10
m	Rr	51132	2.825	2023	09
m	Rr	54561	3.014	2023	08
m	Rr	60246	3.328	2023	07
m	Rr	66204	3.657	2023	06
m	Rr	60120	3.321	2023	05
m	Rr	8982	0.496	2023	04
m	Rr	10848	0.599	2023	03
m	Rr	8360	0.462	2023	02
m	Rr	8487	0.469	2023	01
m	Rr	6950	0.384	2022	12
m	Rr	6349	0.351	2022	11
m	Rr	7008	0.387	2022	10
m	Rr	6740	0.372	2022	09
m	Rr	6863	0.379	2022	08
m	Rr	6759	0.373	2022	07
m	Rr	6567	0.363	2022	06
m	Rr	8427	0.466	2022	05
m	Rr	6801	0.376	2022	04
m	Rr	6380	0.352	2022	03
m	Rr	6175	0.341	2022	02
m	Rr	7315	0.404	2022	01
m	Rr	7667	0.424	2021	12
m	Rr	7097	0.392	2021	11
m	Rr	6390	0.353	2021	10
m	Rr	6059	0.335	2021	09
m	Rr	9092	0.502	2021	08
m	Rr	11675	0.645	2021	07
m	Rr	10152	0.561	2021	06
m	Rr	10231	0.565	2021	05
m	Rr	10292	0.569	2021	04
m	Rr	7948	0.439	2021	03
m	Rr	5800	0.320	2021	02
m	Rr	6514	0.360	2021	01
m	Rr	8069	0.446	2020	12
m	Rr	6579	0.363	2020	11
m	Rr	7551	0.417	2020	10
m	Rr	8028	0.443	2020	09
m	Rr	7741	0.428	2020	08
m	Rr	8113	0.448	2020	07
m	Rr	7317	0.404	2020	06
m	Rr	6898	0.381	2020	05
m	Rr	7441	0.411	2020	04
m	Rr	7524	0.416	2020	03
m	Rr	7322	0.404	2020	02
m	Rr	6797	0.375	2020	01
m	Rr	6573	0.363	2019	12
m	Rr	5917	0.327	2019	11
m	Rr	6608	0.365	2019	10
m	Rr	6791	0.375	2019	09
m	Rr	6597	0.364	2019	08
m	Rr	6280	0.347	2019	07
m	Rr	6317	0.349	2019	06
m	Rr	6847	0.378	2019	05
m	Rr	6663	0.368	2019	04
m	Rr	7059	0.390	2019	03
m	Rr	6374	0.352	2019	02
m	Rr	8062	0.445	2019	01
m	Rr	6957	0.384	2018	12
m	Rr	5422	0.300	2018	11
m	Rr	5750	0.318	2018	10
m	Rr	5458	0.302	2018	09
m	Rr	5735	0.317	2018	08
m	Rr	5945	0.328	2018	07
m	Rr	7110	0.393	2018	06
m	Rr	6440	0.356	2018	05
m	Rr	3378	0.187	2018	04
m	Rr	5789	0.320	2018	03
m	Rr	5369	0.297	2018	02
m	Rr	5574	0.308	2018	01
m	Rr	3906	0.216	2017	12
m	Rr	6533	0.361	2017	11
