x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	07	18	06	14
x	FR	2007	12	18	17	05
x	LR	2021	07	16	23	58
x	E7	2021	07	18	06	14
x	SR	968973
x	S7	2694
x	NC	386049
x	C7	0
x	FL	402266
x	F7	474
x	RR	181
x	R7	0
x	NH	85608
x	H7	409
x	BT	36230790672
x	B7	182200161
1	Rr	57226	5.906	2021
1	Rr	89380	9.224	2020
1	Rr	80088	8.265	2019
1	Rr	68927	7.113	2018
1	Rr	60168	6.209	2017
1	Rr	73316	7.566	2016
1	Rr	80796	8.338	2015
1	Rr	110773	11.432	2014
1	Rr	65173	6.726	2013
1	Rr	60742	6.269	2012
1	Rr	57015	5.884	2011
1	Rr	22139	2.285	2010
1	Rr	69710	7.194	2009
1	Rr	71820	7.412	2008
1	Rr	1700	0.175	2007
1	*BT	R	110773	2014
Q	Rr	6289	0.649	2021	3
Q	Rr	30675	3.166	2021	2
Q	Rr	20262	2.091	2021	1
Q	Rr	22199	2.291	2020	4
Q	Rr	23882	2.465	2020	3
Q	Rr	21656	2.235	2020	2
Q	Rr	21643	2.234	2020	1
Q	Rr	19098	1.971	2019	4
Q	Rr	19668	2.030	2019	3
Q	Rr	19827	2.046	2019	2
Q	Rr	21495	2.218	2019	1
Q	Rr	18129	1.871	2018	4
Q	Rr	17138	1.769	2018	3
Q	Rr	16928	1.747	2018	2
Q	Rr	16732	1.727	2018	1
Q	Rr	15937	1.645	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.737	2017	2
Q	Rr	27400	2.828	2017	1
Q	Rr	22114	2.282	2016	4
Q	Rr	17621	1.819	2016	3
Q	Rr	15878	1.639	2016	2
Q	Rr	17703	1.827	2016	1
Q	Rr	16575	1.711	2015	4
Q	Rr	22104	2.281	2015	3
Q	Rr	22485	2.320	2015	2
Q	Rr	19632	2.026	2015	1
Q	Rr	21142	2.182	2014	4
Q	Rr	22272	2.299	2014	3
Q	Rr	31453	3.246	2014	2
Q	Rr	35906	3.706	2014	1
Q	Rr	16436	1.696	2013	4
Q	Rr	15216	1.570	2013	3
Q	Rr	16545	1.707	2013	2
Q	Rr	16976	1.752	2013	1
Q	Rr	16578	1.711	2012	4
Q	Rr	12511	1.291	2012	3
Q	Rr	15816	1.632	2012	2
Q	Rr	15837	1.634	2012	1
Q	Rr	15444	1.594	2011	4
Q	Rr	17386	1.794	2011	3
Q	Rr	9395	0.970	2011	2
Q	Rr	14790	1.526	2011	1
Q	Rr	1603	0.165	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.450	2010	2
Q	Rr	6489	0.670	2010	1
Q	Rr	16350	1.687	2009	4
Q	Rr	18220	1.880	2009	3
Q	Rr	17115	1.766	2009	2
Q	Rr	18025	1.860	2009	1
Q	Rr	15905	1.641	2008	4
Q	Rr	15660	1.616	2008	3
Q	Rr	22448	2.317	2008	2
Q	Rr	17807	1.838	2008	1
Q	Rr	1700	0.175	2007	4
Q	*BT	R	35906	2014	1
m	Rr	6289	0.649	2021	07
m	Rr	10152	1.048	2021	06
m	Rr	10231	1.056	2021	05
m	Rr	10292	1.062	2021	04
m	Rr	7948	0.820	2021	03
m	Rr	5800	0.599	2021	02
m	Rr	6514	0.672	2021	01
m	Rr	8069	0.833	2020	12
m	Rr	6579	0.679	2020	11
m	Rr	7551	0.779	2020	10
m	Rr	8028	0.829	2020	09
m	Rr	7741	0.799	2020	08
m	Rr	8113	0.837	2020	07
m	Rr	7317	0.755	2020	06
m	Rr	6898	0.712	2020	05
m	Rr	7441	0.768	2020	04
m	Rr	7524	0.776	2020	03
m	Rr	7322	0.756	2020	02
m	Rr	6797	0.701	2020	01
m	Rr	6573	0.678	2019	12
m	Rr	5917	0.611	2019	11
m	Rr	6608	0.682	2019	10
m	Rr	6791	0.701	2019	09
m	Rr	6597	0.681	2019	08
m	Rr	6280	0.648	2019	07
m	Rr	6317	0.652	2019	06
m	Rr	6847	0.707	2019	05
m	Rr	6663	0.688	2019	04
m	Rr	7059	0.729	2019	03
m	Rr	6374	0.658	2019	02
m	Rr	8062	0.832	2019	01
m	Rr	6957	0.718	2018	12
m	Rr	5422	0.560	2018	11
m	Rr	5750	0.593	2018	10
m	Rr	5458	0.563	2018	09
m	Rr	5735	0.592	2018	08
m	Rr	5945	0.614	2018	07
m	Rr	7110	0.734	2018	06
m	Rr	6440	0.665	2018	05
m	Rr	3378	0.349	2018	04
m	Rr	5789	0.597	2018	03
m	Rr	5369	0.554	2018	02
m	Rr	5574	0.575	2018	01
m	Rr	3906	0.403	2017	12
m	Rr	6533	0.674	2017	11
m	Rr	5498	0.567	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.705	2017	05
m	Rr	9999	1.032	2017	04
m	Rr	11887	1.227	2017	03
m	Rr	7941	0.820	2017	02
m	Rr	7572	0.781	2017	01
m	Rr	9483	0.979	2016	12
m	Rr	7121	0.735	2016	11
m	Rr	5510	0.569	2016	10
m	Rr	6288	0.649	2016	09
m	Rr	5888	0.608	2016	08
m	Rr	5445	0.562	2016	07
m	Rr	5042	0.520	2016	06
m	Rr	5495	0.567	2016	05
m	Rr	5341	0.551	2016	04
m	Rr	5558	0.574	2016	03
m	Rr	5548	0.573	2016	02
m	Rr	6597	0.681	2016	01
m	Rr	5574	0.575	2015	12
m	Rr	5330	0.550	2015	11
m	Rr	5671	0.585	2015	10
m	Rr	6196	0.639	2015	09
m	Rr	6788	0.701	2015	08
m	Rr	9120	0.941	2015	07
m	Rr	7156	0.739	2015	06
m	Rr	5694	0.588	2015	05
m	Rr	9635	0.994	2015	04
m	Rr	6215	0.641	2015	03
m	Rr	6084	0.628	2015	02
m	Rr	7333	0.757	2015	01
m	Rr	6608	0.682	2014	12
m	Rr	6997	0.722	2014	11
m	Rr	7537	0.778	2014	10
m	Rr	7043	0.727	2014	09
m	Rr	7324	0.756	2014	08
m	Rr	7905	0.816	2014	07
m	Rr	11654	1.203	2014	06
m	Rr	9211	0.951	2014	05
m	Rr	10588	1.093	2014	04
m	Rr	7817	0.807	2014	03
m	Rr	15229	1.572	2014	02
m	Rr	12860	1.327	2014	01
m	Rr	5325	0.550	2013	12
m	Rr	5513	0.569	2013	11
m	Rr	5598	0.578	2013	10
m	Rr	4655	0.480	2013	09
m	Rr	4938	0.510	2013	08
m	Rr	5623	0.580	2013	07
m	Rr	5492	0.567	2013	06
m	Rr	5211	0.538	2013	05
m	Rr	5842	0.603	2013	04
m	Rr	6068	0.626	2013	03
m	Rr	5055	0.522	2013	02
m	Rr	5853	0.604	2013	01
m	Rr	5688	0.587	2012	12
m	Rr	5477	0.565	2012	11
m	Rr	5413	0.559	2012	10
m	Rr	4331	0.447	2012	09
m	Rr	3866	0.399	2012	08
m	Rr	4314	0.445	2012	07
m	Rr	4655	0.480	2012	06
m	Rr	6047	0.624	2012	05
m	Rr	5114	0.528	2012	04
m	Rr	6128	0.632	2012	03
m	Rr	5430	0.560	2012	02
m	Rr	4279	0.442	2012	01
m	Rr	5548	0.573	2011	12
m	Rr	4779	0.493	2011	11
m	Rr	5117	0.528	2011	10
m	Rr	5431	0.560	2011	09
m	Rr	6256	0.646	2011	08
m	Rr	5699	0.588	2011	07
m	Rr	5420	0.559	2011	06
m	Rr	3975	0.410	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.372	2011	03
m	Rr	5171	0.534	2011	02
m	Rr	6011	0.620	2011	01
m	Rr	1603	0.165	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.423	2010	06
m	Rr	5018	0.518	2010	05
m	Rr	4928	0.509	2010	04
m	Rr	5095	0.526	2010	03
m	Rr	1394	0.144	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.481	2009	12
m	Rr	6187	0.639	2009	11
m	Rr	5498	0.567	2009	10
m	Rr	5066	0.523	2009	09
m	Rr	5718	0.590	2009	08
m	Rr	7436	0.767	2009	07
m	Rr	5685	0.587	2009	06
m	Rr	6120	0.632	2009	05
m	Rr	5310	0.548	2009	04
m	Rr	5515	0.569	2009	03
m	Rr	6123	0.632	2009	02
m	Rr	6387	0.659	2009	01
m	Rr	5763	0.595	2008	12
m	Rr	5420	0.559	2008	11
m	Rr	4722	0.487	2008	10
m	Rr	5435	0.561	2008	09
m	Rr	4843	0.500	2008	08
m	Rr	5382	0.555	2008	07
m	Rr	6082	0.628	2008	06
m	Rr	9946	1.026	2008	05
m	Rr	6420	0.663	2008	04
m	Rr	5431	0.560	2008	03
m	Rr	6469	0.668	2008	02
m	Rr	5907	0.610	2008	01
m	Rr	1700	0.175	2007	12
m	*BT	R	15229	2014	02
W	Rr	2777	0.287	2021	07	11
W	Rr	2756	0.284	2021	07	04
W	Rr	2524	0.260	2021	06	27
W	Rr	2466	0.254	2021	06	20
W	Rr	2262	0.233	2021	06	13
W	Rr	2264	0.234	2021	06	06
W	Rr	2101	0.217	2021	05	30
W	Rr	3009	0.311	2021	05	23
W	Rr	1989	0.205	2021	05	16
W	Rr	2386	0.246	2021	05	09
W	Rr	2138	0.221	2021	05	02
W	Rr	1668	0.172	2021	04	25
W	Rr	2413	0.249	2021	04	18
W	Rr	3035	0.313	2021	04	11
W	Rr	2709	0.280	2021	04	04
W	Rr	1942	0.200	2021	03	28
W	Rr	1666	0.172	2021	03	21
W	Rr	1476	0.152	2021	03	14
W	Rr	1713	0.177	2021	03	07
W	Rr	1777	0.183	2021	02	28
W	Rr	1173	0.121	2021	02	21
W	Rr	1101	0.114	2021	02	14
W	Rr	1699	0.175	2021	02	07
W	Rr	1867	0.193	2021	01	31
W	Rr	1404	0.145	2021	01	24
W	Rr	1564	0.161	2021	01	17
W	Rr	1431	0.148	2021	01	10
W	Rr	1666	0.172	2021	01	03
W	Rr	1926	0.199	2020	12	27
W	Rr	1572	0.162	2020	12	20
W	Rr	1404	0.145	2020	12	13
W	Rr	2272	0.234	2020	12	06
W	Rr	1522	0.157	2020	11	29
W	Rr	1722	0.178	2020	11	22
W	Rr	1580	0.163	2020	11	15
W	Rr	1401	0.145	2020	11	08
W	Rr	1499	0.155	2020	11	01
W	Rr	1470	0.152	2020	10	25
W	Rr	2379	0.246	2020	10	18
W	Rr	1559	0.161	2020	10	11
W	Rr	1729	0.178	2020	10	04
W	Rr	1674	0.173	2020	09	27
W	Rr	1786	0.184	2020	09	20
W	Rr	2200	0.227	2020	09	13
W	Rr	1677	0.173	2020	09	06
W	Rr	1596	0.165	2020	08	30
W	Rr	1833	0.189	2020	08	23
W	Rr	1814	0.187	2020	08	16
W	Rr	2206	0.228	2020	08	09
W	Rr	1397	0.144	2020	08	02
W	Rr	1816	0.187	2020	07	26
W	Rr	1949	0.201	2020	07	19
W	Rr	1532	0.158	2020	07	12
W	Rr	1976	0.204	2020	07	05
W	Rr	1600	0.165	2020	06	28
W	Rr	1627	0.168	2020	06	21
W	Rr	2101	0.217	2020	06	14
W	Rr	1590	0.164	2020	06	07
W	Rr	1492	0.154	2020	05	31
W	Rr	1556	0.161	2020	05	24
W	Rr	1756	0.181	2020	05	17
W	Rr	1568	0.162	2020	05	10
W	Rr	1567	0.162	2020	05	03
W	Rr	1734	0.179	2020	04	26
W	Rr	1675	0.173	2020	04	19
W	Rr	1702	0.176	2020	04	12
W	Rr	1965	0.203	2020	04	05
W	Rr	1329	0.137	2020	03	29
W	Rr	1818	0.188	2020	03	22
W	Rr	1345	0.139	2020	03	15
W	Rr	1581	0.163	2020	03	08
W	Rr	2014	0.208	2020	03	01
W	Rr	1942	0.200	2020	02	23
W	Rr	1748	0.180	2020	02	16
W	Rr	1949	0.201	2020	02	09
W	Rr	1683	0.174	2020	02	02
W	Rr	1436	0.148	2020	01	26
W	Rr	1792	0.185	2020	01	19
W	Rr	1519	0.157	2020	01	12
W	Rr	1420	0.147	2020	01	05
W	Rr	1109	0.114	2019	12	29
W	Rr	1023	0.106	2019	12	22
W	Rr	1584	0.163	2019	12	15
W	Rr	1783	0.184	2019	12	08
W	Rr	1704	0.176	2019	12	01
W	Rr	1178	0.122	2019	11	24
W	Rr	1697	0.175	2019	11	17
W	Rr	1510	0.156	2019	11	10
W	Rr	1383	0.143	2019	11	03
W	Rr	1309	0.135	2019	10	27
W	Rr	1473	0.152	2019	10	20
W	Rr	1519	0.157	2019	10	13
W	Rr	1485	0.153	2019	10	06
W	Rr	1416	0.146	2019	09	29
W	Rr	1499	0.155	2019	09	22
W	Rr	1652	0.170	2019	09	15
W	Rr	1710	0.176	2019	09	08
W	Rr	1485	0.153	2019	09	01
W	Rr	1689	0.174	2019	08	25
W	Rr	1315	0.136	2019	08	18
W	Rr	1619	0.167	2019	08	11
W	Rr	1558	0.161	2019	08	04
W	Rr	1360	0.140	2019	07	28
W	Rr	1191	0.123	2019	07	21
W	Rr	1730	0.179	2019	07	14
W	Rr	1299	0.134	2019	07	07
W	Rr	1339	0.138	2019	06	30
W	Rr	1592	0.164	2019	06	23
W	Rr	1497	0.154	2019	06	16
W	Rr	1450	0.150	2019	06	09
W	Rr	1555	0.160	2019	06	02
W	Rr	1289	0.133	2019	05	26
W	Rr	1863	0.192	2019	05	19
W	Rr	1385	0.143	2019	05	12
W	Rr	1553	0.160	2019	05	05
W	Rr	1655	0.171	2019	04	28
W	Rr	1282	0.132	2019	04	21
W	Rr	1503	0.155	2019	04	14
W	Rr	1623	0.167	2019	04	07
W	Rr	1715	0.177	2019	03	31
W	Rr	1882	0.194	2019	03	24
W	Rr	1464	0.151	2019	03	17
W	Rr	1381	0.143	2019	03	10
W	Rr	1627	0.168	2019	03	03
W	Rr	1773	0.183	2019	02	24
W	Rr	1669	0.172	2019	02	17
W	Rr	1483	0.153	2019	02	10
W	Rr	1391	0.144	2019	02	03
W	Rr	1797	0.185	2019	01	27
W	Rr	1963	0.203	2019	01	20
W	Rr	2029	0.209	2019	01	13
W	Rr	1696	0.175	2019	01	06
W	Rr	1526	0.157	2018	12	30
W	Rr	1226	0.127	2018	12	23
W	Rr	1442	0.149	2018	12	16
W	Rr	1936	0.200	2018	12	09
W	Rr	1809	0.187	2018	12	02
W	Rr	1295	0.134	2018	11	25
W	Rr	1820	0.188	2018	11	18
W	Rr	1802	0.186	2018	11	11
W	Rr	0	0.000	2018	11	04
W	Rr	1473	0.152	2018	10	28
W	Rr	1106	0.114	2018	10	21
W	Rr	1427	0.147	2018	10	14
W	Rr	1214	0.125	2018	10	07
W	Rr	1168	0.121	2018	09	30
W	Rr	1420	0.147	2018	09	23
W	Rr	1197	0.124	2018	09	16
W	Rr	1388	0.143	2018	09	09
W	Rr	1320	0.136	2018	09	02
W	Rr	1246	0.129	2018	08	26
W	Rr	1214	0.125	2018	08	19
W	Rr	1366	0.141	2018	08	12
W	Rr	1195	0.123	2018	08	05
W	Rr	1346	0.139	2018	07	29
W	Rr	1374	0.142	2018	07	22
W	Rr	1508	0.156	2018	07	15
W	Rr	1522	0.157	2018	07	08
W	Rr	909	0.094	2018	07	01
W	Rr	1444	0.149	2018	06	24
W	Rr	2682	0.277	2018	06	17
W	Rr	1365	0.141	2018	06	10
W	Rr	1329	0.137	2018	06	03
W	Rr	1275	0.132	2018	05	27
W	Rr	1392	0.144	2018	05	20
W	Rr	1321	0.136	2018	05	13
