x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	09	26	05	45
x	FR	2007	12	18	17	05
x	LR	2021	09	24	23	45
x	E7	2021	09	26	05	45
x	SR	988106
x	S7	1574
x	NC	391245
x	C7	0
x	FL	406730
x	F7	381
x	RR	183
x	R7	2
x	NH	87258
x	H7	318
x	BT	37685452979
x	B7	130874076
1	Rr	76359	7.728	2021
1	Rr	89380	9.046	2020
1	Rr	80088	8.105	2019
1	Rr	68927	6.976	2018
1	Rr	60168	6.089	2017
1	Rr	73316	7.420	2016
1	Rr	80796	8.177	2015
1	Rr	110773	11.211	2014
1	Rr	65173	6.596	2013
1	Rr	60742	6.147	2012
1	Rr	57015	5.770	2011
1	Rr	22139	2.241	2010
1	Rr	69710	7.055	2009
1	Rr	71820	7.268	2008
1	Rr	1700	0.172	2007
1	*BT	R	110773	2014
Q	Rr	25422	2.573	2021	3
Q	Rr	30675	3.104	2021	2
Q	Rr	20262	2.051	2021	1
Q	Rr	22199	2.247	2020	4
Q	Rr	23882	2.417	2020	3
Q	Rr	21656	2.192	2020	2
Q	Rr	21643	2.190	2020	1
Q	Rr	19098	1.933	2019	4
Q	Rr	19668	1.990	2019	3
Q	Rr	19827	2.007	2019	2
Q	Rr	21495	2.175	2019	1
Q	Rr	18129	1.835	2018	4
Q	Rr	17138	1.734	2018	3
Q	Rr	16928	1.713	2018	2
Q	Rr	16732	1.693	2018	1
Q	Rr	15937	1.613	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.703	2017	2
Q	Rr	27400	2.773	2017	1
Q	Rr	22114	2.238	2016	4
Q	Rr	17621	1.783	2016	3
Q	Rr	15878	1.607	2016	2
Q	Rr	17703	1.792	2016	1
Q	Rr	16575	1.677	2015	4
Q	Rr	22104	2.237	2015	3
Q	Rr	22485	2.276	2015	2
Q	Rr	19632	1.987	2015	1
Q	Rr	21142	2.140	2014	4
Q	Rr	22272	2.254	2014	3
Q	Rr	31453	3.183	2014	2
Q	Rr	35906	3.634	2014	1
Q	Rr	16436	1.663	2013	4
Q	Rr	15216	1.540	2013	3
Q	Rr	16545	1.674	2013	2
Q	Rr	16976	1.718	2013	1
Q	Rr	16578	1.678	2012	4
Q	Rr	12511	1.266	2012	3
Q	Rr	15816	1.601	2012	2
Q	Rr	15837	1.603	2012	1
Q	Rr	15444	1.563	2011	4
Q	Rr	17386	1.760	2011	3
Q	Rr	9395	0.951	2011	2
Q	Rr	14790	1.497	2011	1
Q	Rr	1603	0.162	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.422	2010	2
Q	Rr	6489	0.657	2010	1
Q	Rr	16350	1.655	2009	4
Q	Rr	18220	1.844	2009	3
Q	Rr	17115	1.732	2009	2
Q	Rr	18025	1.824	2009	1
Q	Rr	15905	1.610	2008	4
Q	Rr	15660	1.585	2008	3
Q	Rr	22448	2.272	2008	2
Q	Rr	17807	1.802	2008	1
Q	Rr	1700	0.172	2007	4
Q	*BT	R	35906	2014	1
m	Rr	4655	0.471	2021	09
m	Rr	9092	0.920	2021	08
m	Rr	11675	1.182	2021	07
m	Rr	10152	1.027	2021	06
m	Rr	10231	1.035	2021	05
m	Rr	10292	1.042	2021	04
m	Rr	7948	0.804	2021	03
m	Rr	5800	0.587	2021	02
m	Rr	6514	0.659	2021	01
m	Rr	8069	0.817	2020	12
m	Rr	6579	0.666	2020	11
m	Rr	7551	0.764	2020	10
m	Rr	8028	0.812	2020	09
m	Rr	7741	0.783	2020	08
m	Rr	8113	0.821	2020	07
m	Rr	7317	0.741	2020	06
m	Rr	6898	0.698	2020	05
m	Rr	7441	0.753	2020	04
m	Rr	7524	0.761	2020	03
m	Rr	7322	0.741	2020	02
m	Rr	6797	0.688	2020	01
m	Rr	6573	0.665	2019	12
m	Rr	5917	0.599	2019	11
m	Rr	6608	0.669	2019	10
m	Rr	6791	0.687	2019	09
m	Rr	6597	0.668	2019	08
m	Rr	6280	0.636	2019	07
m	Rr	6317	0.639	2019	06
m	Rr	6847	0.693	2019	05
m	Rr	6663	0.674	2019	04
m	Rr	7059	0.714	2019	03
m	Rr	6374	0.645	2019	02
m	Rr	8062	0.816	2019	01
m	Rr	6957	0.704	2018	12
m	Rr	5422	0.549	2018	11
m	Rr	5750	0.582	2018	10
m	Rr	5458	0.552	2018	09
m	Rr	5735	0.580	2018	08
m	Rr	5945	0.602	2018	07
m	Rr	7110	0.720	2018	06
m	Rr	6440	0.652	2018	05
m	Rr	3378	0.342	2018	04
m	Rr	5789	0.586	2018	03
m	Rr	5369	0.543	2018	02
m	Rr	5574	0.564	2018	01
m	Rr	3906	0.395	2017	12
m	Rr	6533	0.661	2017	11
m	Rr	5498	0.556	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.691	2017	05
m	Rr	9999	1.012	2017	04
m	Rr	11887	1.203	2017	03
m	Rr	7941	0.804	2017	02
m	Rr	7572	0.766	2017	01
m	Rr	9483	0.960	2016	12
m	Rr	7121	0.721	2016	11
m	Rr	5510	0.558	2016	10
m	Rr	6288	0.636	2016	09
m	Rr	5888	0.596	2016	08
m	Rr	5445	0.551	2016	07
m	Rr	5042	0.510	2016	06
m	Rr	5495	0.556	2016	05
m	Rr	5341	0.541	2016	04
m	Rr	5558	0.562	2016	03
m	Rr	5548	0.561	2016	02
m	Rr	6597	0.668	2016	01
m	Rr	5574	0.564	2015	12
m	Rr	5330	0.539	2015	11
m	Rr	5671	0.574	2015	10
m	Rr	6196	0.627	2015	09
m	Rr	6788	0.687	2015	08
m	Rr	9120	0.923	2015	07
m	Rr	7156	0.724	2015	06
m	Rr	5694	0.576	2015	05
m	Rr	9635	0.975	2015	04
m	Rr	6215	0.629	2015	03
m	Rr	6084	0.616	2015	02
m	Rr	7333	0.742	2015	01
m	Rr	6608	0.669	2014	12
m	Rr	6997	0.708	2014	11
m	Rr	7537	0.763	2014	10
m	Rr	7043	0.713	2014	09
m	Rr	7324	0.741	2014	08
m	Rr	7905	0.800	2014	07
m	Rr	11654	1.179	2014	06
m	Rr	9211	0.932	2014	05
m	Rr	10588	1.072	2014	04
m	Rr	7817	0.791	2014	03
m	Rr	15229	1.541	2014	02
m	Rr	12860	1.301	2014	01
m	Rr	5325	0.539	2013	12
m	Rr	5513	0.558	2013	11
m	Rr	5598	0.567	2013	10
m	Rr	4655	0.471	2013	09
m	Rr	4938	0.500	2013	08
m	Rr	5623	0.569	2013	07
m	Rr	5492	0.556	2013	06
m	Rr	5211	0.527	2013	05
m	Rr	5842	0.591	2013	04
m	Rr	6068	0.614	2013	03
m	Rr	5055	0.512	2013	02
m	Rr	5853	0.592	2013	01
m	Rr	5688	0.576	2012	12
m	Rr	5477	0.554	2012	11
m	Rr	5413	0.548	2012	10
m	Rr	4331	0.438	2012	09
m	Rr	3866	0.391	2012	08
m	Rr	4314	0.437	2012	07
m	Rr	4655	0.471	2012	06
m	Rr	6047	0.612	2012	05
m	Rr	5114	0.518	2012	04
m	Rr	6128	0.620	2012	03
m	Rr	5430	0.550	2012	02
m	Rr	4279	0.433	2012	01
m	Rr	5548	0.561	2011	12
m	Rr	4779	0.484	2011	11
m	Rr	5117	0.518	2011	10
m	Rr	5431	0.550	2011	09
m	Rr	6256	0.633	2011	08
m	Rr	5699	0.577	2011	07
m	Rr	5420	0.549	2011	06
m	Rr	3975	0.402	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.365	2011	03
m	Rr	5171	0.523	2011	02
m	Rr	6011	0.608	2011	01
m	Rr	1603	0.162	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.415	2010	06
m	Rr	5018	0.508	2010	05
m	Rr	4928	0.499	2010	04
m	Rr	5095	0.516	2010	03
m	Rr	1394	0.141	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.472	2009	12
m	Rr	6187	0.626	2009	11
m	Rr	5498	0.556	2009	10
m	Rr	5066	0.513	2009	09
m	Rr	5718	0.579	2009	08
m	Rr	7436	0.753	2009	07
m	Rr	5685	0.575	2009	06
m	Rr	6120	0.619	2009	05
m	Rr	5310	0.537	2009	04
m	Rr	5515	0.558	2009	03
m	Rr	6123	0.620	2009	02
m	Rr	6387	0.646	2009	01
m	Rr	5763	0.583	2008	12
m	Rr	5420	0.549	2008	11
m	Rr	4722	0.478	2008	10
m	Rr	5435	0.550	2008	09
m	Rr	4843	0.490	2008	08
m	Rr	5382	0.545	2008	07
m	Rr	6082	0.616	2008	06
m	Rr	9946	1.007	2008	05
m	Rr	6420	0.650	2008	04
m	Rr	5431	0.550	2008	03
m	Rr	6469	0.655	2008	02
m	Rr	5907	0.598	2008	01
m	Rr	1700	0.172	2007	12
m	*BT	R	15229	2014	02
W	Rr	1646	0.167	2021	09	19
W	Rr	1203	0.122	2021	09	12
W	Rr	1106	0.112	2021	09	05
W	Rr	1383	0.140	2021	08	29
