x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	12	20	02	47
x	FR	2007	12	18	17	05
x	LR	2025	12	19	05	57
x	E7	2025	12	20	02	47
x	SR	3274509
x	S7	8961
x	NC	939885
x	C7	0
x	FL	2418460
x	F7	5446
x	RR	430
x	R7	0
x	NH	138684
x	H7	863
x	BT	57520368399
x	B7	0
1	Rr	833936	25.468	2025
1	Rr	836367	25.542	2024
1	Rr	511208	15.612	2023
1	Rr	82334	2.514	2022
1	Rr	98917	3.021	2021
1	Rr	89380	2.730	2020
1	Rr	80088	2.446	2019
1	Rr	68927	2.105	2018
1	Rr	60168	1.837	2017
1	Rr	73316	2.239	2016
1	Rr	80796	2.467	2015
1	Rr	110773	3.383	2014
1	Rr	65173	1.990	2013
1	Rr	60742	1.855	2012
1	Rr	57015	1.741	2011
1	Rr	22139	0.676	2010
1	Rr	69710	2.129	2009
1	Rr	71820	2.193	2008
1	Rr	1700	0.052	2007
1	*BT	R	836367	2024
Q	Rr	206193	6.297	2025	4
Q	Rr	205969	6.290	2025	3
Q	Rr	216126	6.600	2025	2
Q	Rr	205648	6.280	2025	1
Q	Rr	202145	6.173	2024	4
Q	Rr	220334	6.729	2024	3
Q	Rr	204456	6.244	2024	2
Q	Rr	209432	6.396	2024	1
Q	Rr	182268	5.566	2023	4
Q	Rr	165939	5.068	2023	3
Q	Rr	135306	4.132	2023	2
Q	Rr	27695	0.846	2023	1
Q	Rr	20307	0.620	2022	4
Q	Rr	20362	0.622	2022	3
Q	Rr	21795	0.666	2022	2
Q	Rr	19870	0.607	2022	1
Q	Rr	21154	0.646	2021	4
Q	Rr	26826	0.819	2021	3
Q	Rr	30675	0.937	2021	2
Q	Rr	20262	0.619	2021	1
Q	Rr	22199	0.678	2020	4
Q	Rr	23882	0.729	2020	3
Q	Rr	21656	0.661	2020	2
Q	Rr	21643	0.661	2020	1
Q	Rr	19098	0.583	2019	4
Q	Rr	19668	0.601	2019	3
Q	Rr	19827	0.605	2019	2
Q	Rr	21495	0.656	2019	1
Q	Rr	18129	0.554	2018	4
Q	Rr	17138	0.523	2018	3
Q	Rr	16928	0.517	2018	2
Q	Rr	16732	0.511	2018	1
Q	Rr	15937	0.487	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.514	2017	2
Q	Rr	27400	0.837	2017	1
Q	Rr	22114	0.675	2016	4
Q	Rr	17621	0.538	2016	3
Q	Rr	15878	0.485	2016	2
Q	Rr	17703	0.541	2016	1
Q	Rr	16575	0.506	2015	4
Q	Rr	22104	0.675	2015	3
Q	Rr	22485	0.687	2015	2
Q	Rr	19632	0.600	2015	1
Q	Rr	21142	0.646	2014	4
Q	Rr	22272	0.680	2014	3
Q	Rr	31453	0.961	2014	2
Q	Rr	35906	1.097	2014	1
Q	Rr	16436	0.502	2013	4
Q	Rr	15216	0.465	2013	3
Q	Rr	16545	0.505	2013	2
Q	Rr	16976	0.518	2013	1
Q	Rr	16578	0.506	2012	4
Q	Rr	12511	0.382	2012	3
Q	Rr	15816	0.483	2012	2
Q	Rr	15837	0.484	2012	1
Q	Rr	15444	0.472	2011	4
Q	Rr	17386	0.531	2011	3
Q	Rr	9395	0.287	2011	2
Q	Rr	14790	0.452	2011	1
Q	Rr	1603	0.049	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.429	2010	2
Q	Rr	6489	0.198	2010	1
Q	Rr	16350	0.499	2009	4
Q	Rr	18220	0.556	2009	3
Q	Rr	17115	0.523	2009	2
Q	Rr	18025	0.550	2009	1
Q	Rr	15905	0.486	2008	4
Q	Rr	15660	0.478	2008	3
Q	Rr	22448	0.686	2008	2
Q	Rr	17807	0.544	2008	1
Q	Rr	1700	0.052	2007	4
Q	*BT	R	220334	2024	3
m	Rr	46191	1.411	2025	12
m	Rr	77712	2.373	2025	11
m	Rr	82290	2.513	2025	10
