x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	02	28	06	17
x	FR	2007	12	18	17	05
x	LR	2021	02	26	23	42
x	E7	2021	02	28	06	17
x	SR	923902
x	S7	1126
x	NC	376251
x	C7	0
x	FL	393220
x	F7	334
x	RR	179
x	R7	0
x	NH	82356
x	H7	240
x	BT	33668925851
x	B7	62655997
1	Rr	12155	1.316	2021
1	Rr	89380	9.674	2020
1	Rr	80088	8.668	2019
1	Rr	68927	7.460	2018
1	Rr	60168	6.512	2017
1	Rr	73316	7.935	2016
1	Rr	80796	8.745	2015
1	Rr	110773	11.990	2014
1	Rr	65173	7.054	2013
1	Rr	60742	6.575	2012
1	Rr	57015	6.171	2011
1	Rr	22139	2.396	2010
1	Rr	69710	7.545	2009
1	Rr	71820	7.774	2008
1	Rr	1700	0.184	2007
1	*BT	R	110773	2014
Q	Rr	12155	1.316	2021	1
Q	Rr	22199	2.403	2020	4
Q	Rr	23882	2.585	2020	3
Q	Rr	21656	2.344	2020	2
Q	Rr	21643	2.343	2020	1
Q	Rr	19098	2.067	2019	4
Q	Rr	19668	2.129	2019	3
Q	Rr	19827	2.146	2019	2
Q	Rr	21495	2.327	2019	1
Q	Rr	18129	1.962	2018	4
Q	Rr	17138	1.855	2018	3
Q	Rr	16928	1.832	2018	2
Q	Rr	16732	1.811	2018	1
Q	Rr	15937	1.725	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.822	2017	2
Q	Rr	27400	2.966	2017	1
Q	Rr	22114	2.394	2016	4
Q	Rr	17621	1.907	2016	3
Q	Rr	15878	1.719	2016	2
Q	Rr	17703	1.916	2016	1
Q	Rr	16575	1.794	2015	4
Q	Rr	22104	2.392	2015	3
Q	Rr	22485	2.434	2015	2
Q	Rr	19632	2.125	2015	1
Q	Rr	21142	2.288	2014	4
Q	Rr	22272	2.411	2014	3
Q	Rr	31453	3.404	2014	2
Q	Rr	35906	3.886	2014	1
Q	Rr	16436	1.779	2013	4
Q	Rr	15216	1.647	2013	3
Q	Rr	16545	1.791	2013	2
Q	Rr	16976	1.837	2013	1
Q	Rr	16578	1.794	2012	4
Q	Rr	12511	1.354	2012	3
Q	Rr	15816	1.712	2012	2
Q	Rr	15837	1.714	2012	1
Q	Rr	15444	1.672	2011	4
Q	Rr	17386	1.882	2011	3
Q	Rr	9395	1.017	2011	2
Q	Rr	14790	1.601	2011	1
Q	Rr	1603	0.174	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.520	2010	2
Q	Rr	6489	0.702	2010	1
Q	Rr	16350	1.770	2009	4
Q	Rr	18220	1.972	2009	3
Q	Rr	17115	1.852	2009	2
Q	Rr	18025	1.951	2009	1
Q	Rr	15905	1.722	2008	4
Q	Rr	15660	1.695	2008	3
Q	Rr	22448	2.430	2008	2
Q	Rr	17807	1.927	2008	1
Q	Rr	1700	0.184	2007	4
Q	*BT	R	35906	2014	1
m	Rr	5641	0.611	2021	02
m	Rr	6514	0.705	2021	01
m	Rr	8069	0.873	2020	12
m	Rr	6579	0.712	2020	11
m	Rr	7551	0.817	2020	10
m	Rr	8028	0.869	2020	09
m	Rr	7741	0.838	2020	08
m	Rr	8113	0.878	2020	07
m	Rr	7317	0.792	2020	06
m	Rr	6898	0.747	2020	05
m	Rr	7441	0.805	2020	04
m	Rr	7524	0.814	2020	03
m	Rr	7322	0.793	2020	02
m	Rr	6797	0.736	2020	01
m	Rr	6573	0.711	2019	12
m	Rr	5917	0.640	2019	11
m	Rr	6608	0.715	2019	10
m	Rr	6791	0.735	2019	09
m	Rr	6597	0.714	2019	08
m	Rr	6280	0.680	2019	07
m	Rr	6317	0.684	2019	06
m	Rr	6847	0.741	2019	05
m	Rr	6663	0.721	2019	04
m	Rr	7059	0.764	2019	03
m	Rr	6374	0.690	2019	02
m	Rr	8062	0.873	2019	01
m	Rr	6957	0.753	2018	12
m	Rr	5422	0.587	2018	11
m	Rr	5750	0.622	2018	10
m	Rr	5458	0.591	2018	09
m	Rr	5735	0.621	2018	08
m	Rr	5945	0.643	2018	07
m	Rr	7110	0.770	2018	06
m	Rr	6440	0.697	2018	05
m	Rr	3378	0.366	2018	04
m	Rr	5789	0.627	2018	03
m	Rr	5369	0.581	2018	02
m	Rr	5574	0.603	2018	01
m	Rr	3906	0.423	2017	12
m	Rr	6533	0.707	2017	11
m	Rr	5498	0.595	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.739	2017	05
m	Rr	9999	1.082	2017	04
m	Rr	11887	1.287	2017	03
m	Rr	7941	0.860	2017	02
m	Rr	7572	0.820	2017	01
m	Rr	9483	1.026	2016	12
m	Rr	7121	0.771	2016	11
m	Rr	5510	0.596	2016	10
m	Rr	6288	0.681	2016	09
m	Rr	5888	0.637	2016	08
m	Rr	5445	0.589	2016	07
m	Rr	5042	0.546	2016	06
m	Rr	5495	0.595	2016	05
m	Rr	5341	0.578	2016	04
m	Rr	5558	0.602	2016	03
m	Rr	5548	0.600	2016	02
