x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	03	11	01	55
x	FR	2007	12	18	17	05
x	LR	2025	03	10	04	54
x	E7	2025	03	11	01	55
x	SR	2592534
x	S7	10283
x	NC	806580
x	C7	0
x	FL	1219402
x	F7	935
x	RR	301
x	R7	0
x	NH	123676
x	H7	529
x	BT	57520368399
x	B7	0
1	Rr	151961	5.861	2025
1	Rr	836367	32.261	2024
1	Rr	511208	19.718	2023
1	Rr	82334	3.176	2022
1	Rr	98917	3.815	2021
1	Rr	89380	3.448	2020
1	Rr	80088	3.089	2019
1	Rr	68927	2.659	2018
1	Rr	60168	2.321	2017
1	Rr	73316	2.828	2016
1	Rr	80796	3.116	2015
1	Rr	110773	4.273	2014
1	Rr	65173	2.514	2013
1	Rr	60742	2.343	2012
1	Rr	57015	2.199	2011
1	Rr	22139	0.854	2010
1	Rr	69710	2.689	2009
1	Rr	71820	2.770	2008
1	Rr	1700	0.066	2007
1	*BT	R	836367	2024
Q	Rr	151961	5.861	2025	1
Q	Rr	202145	7.797	2024	4
Q	Rr	220334	8.499	2024	3
Q	Rr	204456	7.886	2024	2
Q	Rr	209432	8.078	2024	1
Q	Rr	182268	7.030	2023	4
Q	Rr	165939	6.401	2023	3
Q	Rr	135306	5.219	2023	2
Q	Rr	27695	1.068	2023	1
Q	Rr	20307	0.783	2022	4
Q	Rr	20362	0.785	2022	3
Q	Rr	21795	0.841	2022	2
Q	Rr	19870	0.766	2022	1
Q	Rr	21154	0.816	2021	4
Q	Rr	26826	1.035	2021	3
Q	Rr	30675	1.183	2021	2
Q	Rr	20262	0.782	2021	1
Q	Rr	22199	0.856	2020	4
Q	Rr	23882	0.921	2020	3
Q	Rr	21656	0.835	2020	2
Q	Rr	21643	0.835	2020	1
Q	Rr	19098	0.737	2019	4
Q	Rr	19668	0.759	2019	3
Q	Rr	19827	0.765	2019	2
Q	Rr	21495	0.829	2019	1
Q	Rr	18129	0.699	2018	4
Q	Rr	17138	0.661	2018	3
Q	Rr	16928	0.653	2018	2
Q	Rr	16732	0.645	2018	1
Q	Rr	15937	0.615	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.649	2017	2
Q	Rr	27400	1.057	2017	1
Q	Rr	22114	0.853	2016	4
Q	Rr	17621	0.680	2016	3
Q	Rr	15878	0.612	2016	2
Q	Rr	17703	0.683	2016	1
Q	Rr	16575	0.639	2015	4
Q	Rr	22104	0.853	2015	3
Q	Rr	22485	0.867	2015	2
Q	Rr	19632	0.757	2015	1
Q	Rr	21142	0.815	2014	4
Q	Rr	22272	0.859	2014	3
Q	Rr	31453	1.213	2014	2
Q	Rr	35906	1.385	2014	1
Q	Rr	16436	0.634	2013	4
Q	Rr	15216	0.587	2013	3
Q	Rr	16545	0.638	2013	2
Q	Rr	16976	0.655	2013	1
Q	Rr	16578	0.639	2012	4
Q	Rr	12511	0.483	2012	3
Q	Rr	15816	0.610	2012	2
Q	Rr	15837	0.611	2012	1
Q	Rr	15444	0.596	2011	4
Q	Rr	17386	0.671	2011	3
Q	Rr	9395	0.362	2011	2
Q	Rr	14790	0.570	2011	1
Q	Rr	1603	0.062	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.542	2010	2
Q	Rr	6489	0.250	2010	1
Q	Rr	16350	0.631	2009	4
Q	Rr	18220	0.703	2009	3
Q	Rr	17115	0.660	2009	2
Q	Rr	18025	0.695	2009	1
Q	Rr	15905	0.613	2008	4
Q	Rr	15660	0.604	2008	3
Q	Rr	22448	0.866	2008	2
Q	Rr	17807	0.687	2008	1
Q	Rr	1700	0.066	2007	4
Q	*BT	R	220334	2024	3
m	Rr	16841	0.650	2025	03
m	Rr	57744	2.227	2025	02
m	Rr	77376	2.985	2025	01
m	Rr	57890	2.233	2024	12
m	Rr	63975	2.468	2024	11
m	Rr	80280	3.097	2024	10
m	Rr	73644	2.841	2024	09
m	Rr	72041	2.779	2024	08
m	Rr	74649	2.879	2024	07
m	Rr	69378	2.676	2024	06
m	Rr	72365	2.791	2024	05
m	Rr	62713	2.419	2024	04
m	Rr	66782	2.576	2024	03
m	Rr	68592	2.646	2024	02
m	Rr	74058	2.857	2024	01
m	Rr	54270	2.093	2023	12
m	Rr	61278	2.364	2023	11
m	Rr	66720	2.574	2023	10
m	Rr	51132	1.972	2023	09
m	Rr	54561	2.105	2023	08
m	Rr	60246	2.324	2023	07
m	Rr	66204	2.554	2023	06
m	Rr	60120	2.319	2023	05
m	Rr	8982	0.346	2023	04
m	Rr	10848	0.418	2023	03
m	Rr	8360	0.322	2023	02
m	Rr	8487	0.327	2023	01
m	Rr	6950	0.268	2022	12
m	Rr	6349	0.245	2022	11
m	Rr	7008	0.270	2022	10
m	Rr	6740	0.260	2022	09
m	Rr	6863	0.265	2022	08
m	Rr	6759	0.261	2022	07
m	Rr	6567	0.253	2022	06
m	Rr	8427	0.325	2022	05
m	Rr	6801	0.262	2022	04
m	Rr	6380	0.246	2022	03
m	Rr	6175	0.238	2022	02
m	Rr	7315	0.282	2022	01
m	Rr	7667	0.296	2021	12
m	Rr	7097	0.274	2021	11
m	Rr	6390	0.246	2021	10
m	Rr	6059	0.234	2021	09
m	Rr	9092	0.351	2021	08
m	Rr	11675	0.450	2021	07
m	Rr	10152	0.392	2021	06
m	Rr	10231	0.395	2021	05
m	Rr	10292	0.397	2021	04
m	Rr	7948	0.307	2021	03
m	Rr	5800	0.224	2021	02
m	Rr	6514	0.251	2021	01
m	Rr	8069	0.311	2020	12
m	Rr	6579	0.254	2020	11
m	Rr	7551	0.291	2020	10
m	Rr	8028	0.310	2020	09
m	Rr	7741	0.299	2020	08
m	Rr	8113	0.313	2020	07
m	Rr	7317	0.282	2020	06
m	Rr	6898	0.266	2020	05
m	Rr	7441	0.287	2020	04
m	Rr	7524	0.290	2020	03
m	Rr	7322	0.282	2020	02
m	Rr	6797	0.262	2020	01
m	Rr	6573	0.254	2019	12
m	Rr	5917	0.228	2019	11
m	Rr	6608	0.255	2019	10
m	Rr	6791	0.262	2019	09
m	Rr	6597	0.254	2019	08
m	Rr	6280	0.242	2019	07
m	Rr	6317	0.244	2019	06
m	Rr	6847	0.264	2019	05
m	Rr	6663	0.257	2019	04
m	Rr	7059	0.272	2019	03
m	Rr	6374	0.246	2019	02
m	Rr	8062	0.311	2019	01
m	Rr	6957	0.268	2018	12
m	Rr	5422	0.209	2018	11
m	Rr	5750	0.222	2018	10
m	Rr	5458	0.211	2018	09
m	Rr	5735	0.221	2018	08
m	Rr	5945	0.229	2018	07
m	Rr	7110	0.274	2018	06
m	Rr	6440	0.248	2018	05
m	Rr	3378	0.130	2018	04
m	Rr	5789	0.223	2018	03
m	Rr	5369	0.207	2018	02
m	Rr	5574	0.215	2018	01
m	Rr	3906	0.151	2017	12
m	Rr	6533	0.252	2017	11
m	Rr	5498	0.212	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.264	2017	05
m	Rr	9999	0.386	2017	04
m	Rr	11887	0.459	2017	03
m	Rr	7941	0.306	2017	02
m	Rr	7572	0.292	2017	01
m	Rr	9483	0.366	2016	12
m	Rr	7121	0.275	2016	11
m	Rr	5510	0.213	2016	10
m	Rr	6288	0.243	2016	09
m	Rr	5888	0.227	2016	08
m	Rr	5445	0.210	2016	07
m	Rr	5042	0.194	2016	06
m	Rr	5495	0.212	2016	05
m	Rr	5341	0.206	2016	04
m	Rr	5558	0.214	2016	03
m	Rr	5548	0.214	2016	02
m	Rr	6597	0.254	2016	01
m	Rr	5574	0.215	2015	12
m	Rr	5330	0.206	2015	11
m	Rr	5671	0.219	2015	10
m	Rr	6196	0.239	2015	09
m	Rr	6788	0.262	2015	08
m	Rr	9120	0.352	2015	07
m	Rr	7156	0.276	2015	06
m	Rr	5694	0.220	2015	05
m	Rr	9635	0.372	2015	04
m	Rr	6215	0.240	2015	03
