x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	03	28	06	13
x	FR	2007	12	18	17	05
x	LR	2021	03	26	23	53
x	E7	2021	03	28	06	13
x	SR	930534
x	S7	1643
x	NC	378561
x	C7	0
x	FL	394467
x	F7	217
x	RR	179
x	R7	0
x	NH	82912
x	H7	313
x	BT	34125135654
x	B7	97595009
1	Rr	18787	2.019	2021
1	Rr	89380	9.605	2020
1	Rr	80088	8.607	2019
1	Rr	68927	7.407	2018
1	Rr	60168	6.466	2017
1	Rr	73316	7.879	2016
1	Rr	80796	8.683	2015
1	Rr	110773	11.904	2014
1	Rr	65173	7.004	2013
1	Rr	60742	6.528	2012
1	Rr	57015	6.127	2011
1	Rr	22139	2.379	2010
1	Rr	69710	7.491	2009
1	Rr	71820	7.718	2008
1	Rr	1700	0.183	2007
1	*BT	R	110773	2014
Q	Rr	18787	2.019	2021	1
Q	Rr	22199	2.386	2020	4
Q	Rr	23882	2.566	2020	3
Q	Rr	21656	2.327	2020	2
Q	Rr	21643	2.326	2020	1
Q	Rr	19098	2.052	2019	4
Q	Rr	19668	2.114	2019	3
Q	Rr	19827	2.131	2019	2
Q	Rr	21495	2.310	2019	1
Q	Rr	18129	1.948	2018	4
Q	Rr	17138	1.842	2018	3
Q	Rr	16928	1.819	2018	2
Q	Rr	16732	1.798	2018	1
Q	Rr	15937	1.713	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.809	2017	2
Q	Rr	27400	2.945	2017	1
Q	Rr	22114	2.376	2016	4
Q	Rr	17621	1.894	2016	3
Q	Rr	15878	1.706	2016	2
Q	Rr	17703	1.902	2016	1
Q	Rr	16575	1.781	2015	4
Q	Rr	22104	2.375	2015	3
Q	Rr	22485	2.416	2015	2
Q	Rr	19632	2.110	2015	1
Q	Rr	21142	2.272	2014	4
Q	Rr	22272	2.393	2014	3
Q	Rr	31453	3.380	2014	2
Q	Rr	35906	3.859	2014	1
Q	Rr	16436	1.766	2013	4
Q	Rr	15216	1.635	2013	3
Q	Rr	16545	1.778	2013	2
Q	Rr	16976	1.824	2013	1
Q	Rr	16578	1.782	2012	4
Q	Rr	12511	1.344	2012	3
Q	Rr	15816	1.700	2012	2
Q	Rr	15837	1.702	2012	1
Q	Rr	15444	1.660	2011	4
Q	Rr	17386	1.868	2011	3
Q	Rr	9395	1.010	2011	2
Q	Rr	14790	1.589	2011	1
Q	Rr	1603	0.172	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.510	2010	2
Q	Rr	6489	0.697	2010	1
Q	Rr	16350	1.757	2009	4
Q	Rr	18220	1.958	2009	3
Q	Rr	17115	1.839	2009	2
Q	Rr	18025	1.937	2009	1
Q	Rr	15905	1.709	2008	4
Q	Rr	15660	1.683	2008	3
Q	Rr	22448	2.412	2008	2
Q	Rr	17807	1.914	2008	1
Q	Rr	1700	0.183	2007	4
Q	*BT	R	35906	2014	1
m	Rr	6473	0.696	2021	03
m	Rr	5800	0.623	2021	02
m	Rr	6514	0.700	2021	01
m	Rr	8069	0.867	2020	12
m	Rr	6579	0.707	2020	11
m	Rr	7551	0.811	2020	10
m	Rr	8028	0.863	2020	09
m	Rr	7741	0.832	2020	08
m	Rr	8113	0.872	2020	07
m	Rr	7317	0.786	2020	06
m	Rr	6898	0.741	2020	05
m	Rr	7441	0.800	2020	04
m	Rr	7524	0.809	2020	03
m	Rr	7322	0.787	2020	02
