x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2025	06	02	01	58
x	FR	2007	12	18	17	05
x	LR	2025	06	01	04	43
x	E7	2025	06	02	01	58
x	SR	2779748
x	S7	7713
x	NC	849165
x	C7	0
x	FL	1448746
x	F7	4615
x	RR	324
x	R7	0
x	NH	127409
x	H7	686
x	BT	57520368399
x	B7	0
1	Rr	339175	12.202	2025
1	Rr	836367	30.088	2024
1	Rr	511208	18.390	2023
1	Rr	82334	2.962	2022
1	Rr	98917	3.558	2021
1	Rr	89380	3.215	2020
1	Rr	80088	2.881	2019
1	Rr	68927	2.480	2018
1	Rr	60168	2.165	2017
1	Rr	73316	2.638	2016
1	Rr	80796	2.907	2015
1	Rr	110773	3.985	2014
1	Rr	65173	2.345	2013
1	Rr	60742	2.185	2012
1	Rr	57015	2.051	2011
1	Rr	22139	0.796	2010
1	Rr	69710	2.508	2009
1	Rr	71820	2.584	2008
1	Rr	1700	0.061	2007
1	*BT	R	836367	2024
Q	Rr	133527	4.804	2025	2
Q	Rr	205648	7.398	2025	1
Q	Rr	202145	7.272	2024	4
Q	Rr	220334	7.926	2024	3
Q	Rr	204456	7.355	2024	2
Q	Rr	209432	7.534	2024	1
Q	Rr	182268	6.557	2023	4
Q	Rr	165939	5.970	2023	3
Q	Rr	135306	4.868	2023	2
Q	Rr	27695	0.996	2023	1
Q	Rr	20307	0.731	2022	4
Q	Rr	20362	0.733	2022	3
Q	Rr	21795	0.784	2022	2
Q	Rr	19870	0.715	2022	1
Q	Rr	21154	0.761	2021	4
Q	Rr	26826	0.965	2021	3
Q	Rr	30675	1.104	2021	2
Q	Rr	20262	0.729	2021	1
Q	Rr	22199	0.799	2020	4
Q	Rr	23882	0.859	2020	3
Q	Rr	21656	0.779	2020	2
Q	Rr	21643	0.779	2020	1
Q	Rr	19098	0.687	2019	4
Q	Rr	19668	0.708	2019	3
Q	Rr	19827	0.713	2019	2
Q	Rr	21495	0.773	2019	1
Q	Rr	18129	0.652	2018	4
Q	Rr	17138	0.617	2018	3
Q	Rr	16928	0.609	2018	2
Q	Rr	16732	0.602	2018	1
Q	Rr	15937	0.573	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	0.605	2017	2
Q	Rr	27400	0.986	2017	1
Q	Rr	22114	0.796	2016	4
Q	Rr	17621	0.634	2016	3
Q	Rr	15878	0.571	2016	2
Q	Rr	17703	0.637	2016	1
Q	Rr	16575	0.596	2015	4
Q	Rr	22104	0.795	2015	3
Q	Rr	22485	0.809	2015	2
Q	Rr	19632	0.706	2015	1
Q	Rr	21142	0.761	2014	4
Q	Rr	22272	0.801	2014	3
Q	Rr	31453	1.132	2014	2
Q	Rr	35906	1.292	2014	1
Q	Rr	16436	0.591	2013	4
Q	Rr	15216	0.547	2013	3
Q	Rr	16545	0.595	2013	2
Q	Rr	16976	0.611	2013	1
Q	Rr	16578	0.596	2012	4
Q	Rr	12511	0.450	2012	3
Q	Rr	15816	0.569	2012	2
Q	Rr	15837	0.570	2012	1
Q	Rr	15444	0.556	2011	4
Q	Rr	17386	0.625	2011	3
Q	Rr	9395	0.338	2011	2
Q	Rr	14790	0.532	2011	1
Q	Rr	1603	0.058	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	0.505	2010	2
Q	Rr	6489	0.233	2010	1
Q	Rr	16350	0.588	2009	4
Q	Rr	18220	0.655	2009	3
Q	Rr	17115	0.616	2009	2
Q	Rr	18025	0.648	2009	1
Q	Rr	15905	0.572	2008	4
Q	Rr	15660	0.563	2008	3
Q	Rr	22448	0.808	2008	2
Q	Rr	17807	0.641	2008	1
Q	Rr	1700	0.061	2007	4
Q	*BT	R	220334	2024	3
m	Rr	153	0.006	2025	06
m	Rr	61260	2.204	2025	05
m	Rr	72114	2.594	2025	04
m	Rr	70528	2.537	2025	03
m	Rr	57744	2.077	2025	02
m	Rr	77376	2.784	2025	01
m	Rr	57890	2.083	2024	12
m	Rr	63975	2.301	2024	11
m	Rr	80280	2.888	2024	10
m	Rr	73644	2.649	2024	09
m	Rr	72041	2.592	2024	08
m	Rr	74649	2.685	2024	07
m	Rr	69378	2.496	2024	06
m	Rr	72365	2.603	2024	05
m	Rr	62713	2.256	2024	04
m	Rr	66782	2.402	2024	03
m	Rr	68592	2.468	2024	02
m	Rr	74058	2.664	2024	01
m	Rr	54270	1.952	2023	12
m	Rr	61278	2.204	2023	11
m	Rr	66720	2.400	2023	10
m	Rr	51132	1.839	2023	09
m	Rr	54561	1.963	2023	08
m	Rr	60246	2.167	2023	07
m	Rr	66204	2.382	2023	06
m	Rr	60120	2.163	2023	05
m	Rr	8982	0.323	2023	04
m	Rr	10848	0.390	2023	03
m	Rr	8360	0.301	2023	02
m	Rr	8487	0.305	2023	01
m	Rr	6950	0.250	2022	12
m	Rr	6349	0.228	2022	11
m	Rr	7008	0.252	2022	10
m	Rr	6740	0.242	2022	09
m	Rr	6863	0.247	2022	08
m	Rr	6759	0.243	2022	07
m	Rr	6567	0.236	2022	06
m	Rr	8427	0.303	2022	05
m	Rr	6801	0.245	2022	04
m	Rr	6380	0.230	2022	03
m	Rr	6175	0.222	2022	02
m	Rr	7315	0.263	2022	01
m	Rr	7667	0.276	2021	12
m	Rr	7097	0.255	2021	11
m	Rr	6390	0.230	2021	10
m	Rr	6059	0.218	2021	09
m	Rr	9092	0.327	2021	08
m	Rr	11675	0.420	2021	07
m	Rr	10152	0.365	2021	06
m	Rr	10231	0.368	2021	05
m	Rr	10292	0.370	2021	04
m	Rr	7948	0.286	2021	03
m	Rr	5800	0.209	2021	02
m	Rr	6514	0.234	2021	01
m	Rr	8069	0.290	2020	12
m	Rr	6579	0.237	2020	11
m	Rr	7551	0.272	2020	10
m	Rr	8028	0.289	2020	09
m	Rr	7741	0.278	2020	08
m	Rr	8113	0.292	2020	07
m	Rr	7317	0.263	2020	06
m	Rr	6898	0.248	2020	05
m	Rr	7441	0.268	2020	04
m	Rr	7524	0.271	2020	03
m	Rr	7322	0.263	2020	02
m	Rr	6797	0.245	2020	01
m	Rr	6573	0.236	2019	12
m	Rr	5917	0.213	2019	11
m	Rr	6608	0.238	2019	10
m	Rr	6791	0.244	2019	09
m	Rr	6597	0.237	2019	08
m	Rr	6280	0.226	2019	07
m	Rr	6317	0.227	2019	06
m	Rr	6847	0.246	2019	05
m	Rr	6663	0.240	2019	04
m	Rr	7059	0.254	2019	03
m	Rr	6374	0.229	2019	02
m	Rr	8062	0.290	2019	01
m	Rr	6957	0.250	2018	12
m	Rr	5422	0.195	2018	11
m	Rr	5750	0.207	2018	10
m	Rr	5458	0.196	2018	09
m	Rr	5735	0.206	2018	08
m	Rr	5945	0.214	2018	07
m	Rr	7110	0.256	2018	06
m	Rr	6440	0.232	2018	05
m	Rr	3378	0.122	2018	04
m	Rr	5789	0.208	2018	03
m	Rr	5369	0.193	2018	02
m	Rr	5574	0.201	2018	01
m	Rr	3906	0.141	2017	12
m	Rr	6533	0.235	2017	11
m	Rr	5498	0.198	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.246	2017	05
m	Rr	9999	0.360	2017	04
m	Rr	11887	0.428	2017	03
m	Rr	7941	0.286	2017	02
m	Rr	7572	0.272	2017	01
m	Rr	9483	0.341	2016	12
m	Rr	7121	0.256	2016	11
m	Rr	5510	0.198	2016	10
m	Rr	6288	0.226	2016	09
m	Rr	5888	0.212	2016	08
m	Rr	5445	0.196	2016	07
m	Rr	5042	0.181	2016	06
m	Rr	5495	0.198	2016	05
m	Rr	5341	0.192	2016	04
m	Rr	5558	0.200	2016	03
m	Rr	5548	0.200	2016	02
m	Rr	6597	0.237	2016	01
m	Rr	5574	0.201	2015	12
m	Rr	5330	0.192	2015	11
m	Rr	5671	0.204	2015	10
m	Rr	6196	0.223	2015	09
m	Rr	6788	0.244	2015	08
m	Rr	9120	0.328	2015	07
m	Rr	7156	0.257	2015	06
m	Rr	5694	0.205	2015	05
m	Rr	9635	0.347	2015	04
m	Rr	6215	0.224	2015	03
m	Rr	6084	0.219	2015	02
m	Rr	7333	0.264	2015	01
m	Rr	6608	0.238	2014	12
m	Rr	6997	0.252	2014	11
m	Rr	7537	0.271	2014	10
m	Rr	7043	0.253	2014	09
m	Rr	7324	0.263	2014	08
m	Rr	7905	0.284	2014	07
m	Rr	11654	0.419	2014	06
m	Rr	9211	0.331	2014	05
m	Rr	10588	0.381	2014	04
m	Rr	7817	0.281	2014	03
m	Rr	15229	0.548	2014	02
m	Rr	12860	0.463	2014	01
m	Rr	5325	0.192	2013	12
m	Rr	5513	0.198	2013	11
m	Rr	5598	0.201	2013	10
m	Rr	4655	0.167	2013	09
m	Rr	4938	0.178	2013	08
m	Rr	5623	0.202	2013	07
m	Rr	5492	0.198	2013	06
m	Rr	5211	0.187	2013	05
m	Rr	5842	0.210	2013	04
m	Rr	6068	0.218	2013	03
m	Rr	5055	0.182	2013	02
m	Rr	5853	0.211	2013	01
m	Rr	5688	0.205	2012	12
m	Rr	5477	0.197	2012	11
m	Rr	5413	0.195	2012	10
m	Rr	4331	0.156	2012	09
m	Rr	3866	0.139	2012	08
m	Rr	4314	0.155	2012	07
m	Rr	4655	0.167	2012	06
m	Rr	6047	0.218	2012	05
m	Rr	5114	0.184	2012	04
m	Rr	6128	0.220	2012	03
m	Rr	5430	0.195	2012	02
m	Rr	4279	0.154	2012	01
m	Rr	5548	0.200	2011	12
m	Rr	4779	0.172	2011	11
m	Rr	5117	0.184	2011	10
m	Rr	5431	0.195	2011	09
m	Rr	6256	0.225	2011	08
m	Rr	5699	0.205	2011	07
m	Rr	5420	0.195	2011	06
m	Rr	3975	0.143	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.130	2011	03
m	Rr	5171	0.186	2011	02
m	Rr	6011	0.216	2011	01
m	Rr	1603	0.058	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.148	2010	06
m	Rr	5018	0.181	2010	05
m	Rr	4928	0.177	2010	04
m	Rr	5095	0.183	2010	03
m	Rr	1394	0.050	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.168	2009	12
m	Rr	6187	0.223	2009	11
m	Rr	5498	0.198	2009	10
m	Rr	5066	0.182	2009	09
m	Rr	5718	0.206	2009	08
m	Rr	7436	0.268	2009	07
m	Rr	5685	0.205	2009	06
m	Rr	6120	0.220	2009	05
m	Rr	5310	0.191	2009	04
m	Rr	5515	0.198	2009	03
m	Rr	6123	0.220	2009	02
m	Rr	6387	0.230	2009	01
m	Rr	5763	0.207	2008	12
m	Rr	5420	0.195	2008	11
m	Rr	4722	0.170	2008	10
m	Rr	5435	0.196	2008	09
m	Rr	4843	0.174	2008	08
m	Rr	5382	0.194	2008	07
m	Rr	6082	0.219	2008	06
m	Rr	9946	0.358	2008	05
m	Rr	6420	0.231	2008	04
m	Rr	5431	0.195	2008	03
m	Rr	6469	0.233	2008	02
m	Rr	5907	0.213	2008	01
m	Rr	1700	0.061	2007	12
m	*BT	R	80280	2024	10
W	Rr	153	0.006	2025	06	01
W	Rr	9900	0.356	2025	05	25
W	Rr	16746	0.602	2025	05	18
W	Rr	14580	0.525	2025	05	11
W	Rr	13488	0.485	2025	05	04
W	Rr	15054	0.542	2025	04	27
W	Rr	16902	0.608	2025	04	20
W	Rr	18834	0.678	2025	04	13
W	Rr	15738	0.566	2025	04	06
W	Rr	16944	0.610	2025	03	30
W	Rr	15846	0.570	2025	03	23
W	Rr	14881	0.535	2025	03	16
W	Rr	13983	0.503	2025	03	09
W	Rr	18684	0.672	2025	03	02
W	Rr	15570	0.560	2025	02	23
W	Rr	16366	0.589	2025	02	16
W	Rr	10610	0.382	2025	02	09
W	Rr	16170	0.582	2025	02	02
W	Rr	18018	0.648	2025	01	26
W	Rr	18210	0.655	2025	01	19
W	Rr	18726	0.674	2025	01	12
W	Rr	16789	0.604	2025	01	05
W	Rr	12005	0.432	2024	12	29
W	Rr	11414	0.411	2024	12	22
W	Rr	15924	0.573	2024	12	15
W	Rr	12318	0.443	2024	12	08
W	Rr	13212	0.475	2024	12	01
W	Rr	14492	0.521	2024	11	24
W	Rr	14773	0.531	2024	11	17
W	Rr	15900	0.572	2024	11	10
W	Rr	15042	0.541	2024	11	03
W	Rr	14430	0.519	2024	10	27
W	Rr	20382	0.733	2024	10	20
W	Rr	20310	0.731	2024	10	13
W	Rr	17544	0.631	2024	10	06
W	Rr	16788	0.604	2024	09	29
W	Rr	16014	0.576	2024	09	22
W	Rr	17958	0.646	2024	09	15
W	Rr	18306	0.659	2024	09	08
W	Rr	15960	0.574	2024	09	01
W	Rr	18348	0.660	2024	08	25
W	Rr	15726	0.566	2024	08	18
W	Rr	14490	0.521	2024	08	11
W	Rr	15707	0.565	2024	08	04
W	Rr	17598	0.633	2024	07	28
W	Rr	15120	0.544	2024	07	21
W	Rr	14667	0.528	2024	07	14
W	Rr	18810	0.677	2024	07	07
W	Rr	18384	0.661	2024	06	30
W	Rr	16152	0.581	2024	06	23
W	Rr	16674	0.600	2024	06	16
W	Rr	13122	0.472	2024	06	09
W	Rr	18264	0.657	2024	06	02
W	Rr	17766	0.639	2024	05	26
W	Rr	14970	0.539	2024	05	19
W	Rr	14346	0.516	2024	05	12
W	Rr	17520	0.630	2024	05	05
W	Rr	17624	0.634	2024	04	28
W	Rr	15605	0.561	2024	04	21
W	Rr	14394	0.518	2024	04	14
W	Rr	13500	0.486	2024	04	07
W	Rr	13599	0.489	2024	03	31
W	Rr	16024	0.576	2024	03	24
W	Rr	14040	0.505	2024	03	17
W	Rr	16854	0.606	2024	03	10
W	Rr	15624	0.562	2024	03	03
W	Rr	17778	0.640	2024	02	25
W	Rr	13428	0.483	2024	02	18
W	Rr	16572	0.596	2024	02	11
W	Rr	17070	0.614	2024	02	04
W	Rr	26220	0.943	2024	01	28
W	Rr	14730	0.530	2024	01	21
W	Rr	13098	0.471	2024	01	14
W	Rr	15324	0.551	2024	01	07
W	Rr	12552	0.452	2023	12	31
W	Rr	11406	0.410	2023	12	24
W	Rr	11184	0.402	2023	12	17
W	Rr	13956	0.502	2023	12	10
W	Rr	13644	0.491	2023	12	03
W	Rr	12390	0.446	2023	11	26
W	Rr	11682	0.420	2023	11	19
W	Rr	15756	0.567	2023	11	12
W	Rr	16596	0.597	2023	11	05
W	Rr	16104	0.579	2023	10	29
W	Rr	13980	0.503	2023	10	22
W	Rr	15450	0.556	2023	10	15
W	Rr	14713	0.529	2023	10	08
W	Rr	14285	0.514	2023	10	01
W	Rr	14478	0.521	2023	09	24
W	Rr	11904	0.428	2023	09	17
W	Rr	10968	0.395	2023	09	10
W	Rr	10482	0.377	2023	09	03
W	Rr	10800	0.389	2023	08	27
W	Rr	14568	0.524	2023	08	20
W	Rr	12504	0.450	2023	08	13
W	Rr	12076	0.434	2023	08	06
W	Rr	10997	0.396	2023	07	30
W	Rr	13392	0.482	2023	07	23
W	Rr	13224	0.476	2023	07	16
W	Rr	16128	0.580	2023	07	09
W	Rr	13356	0.480	2023	07	02
W	Rr	12558	0.452	2023	06	25
W	Rr	17082	0.615	2023	06	18
W	Rr	16452	0.592	2023	06	11
W	Rr	15336	0.552	2023	06	04
W	Rr	13482	0.485	2023	05	28
W	Rr	16248	0.585	2023	05	21
W	Rr	15078	0.542	2023	05	14
W	Rr	17181	0.618	2023	05	07
W	Rr	4282	0.154	2023	04	30
W	Rr	2458	0.088	2023	04	23
W	Rr	2269	0.082	2023	04	16
W	Rr	1553	0.056	2023	04	09
W	Rr	2389	0.086	2023	04	02
W	Rr	1701	0.061	2023	03	26
W	Rr	1943	0.070	2023	03	19
W	Rr	2225	0.080	2023	03	12
W	Rr	2192	0.079	2023	03	05
W	Rr	4055	0.146	2023	02	26
W	Rr	2406	0.087	2023	02	19
W	Rr	1898	0.068	2023	02	12
W	Rr	1890	0.068	2023	02	05
W	Rr	1861	0.067	2023	01	29
W	Rr	1686	0.061	2023	01	22
W	Rr	1779	0.064	2023	01	15
W	Rr	1833	0.066	2023	01	08
W	Rr	2226	0.080	2023	01	01
W	Rr	1280	0.046	2022	12	25
W	Rr	1806	0.065	2022	12	18
W	Rr	1773	0.064	2022	12	11
W	Rr	1532	0.055	2022	12	04
