x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	03	07	06	24
x	FR	2007	12	18	17	05
x	LR	2021	03	05	23	59
x	E7	2021	03	07	06	24
x	SR	925679
x	S7	1759
x	NC	376857
x	C7	0
x	FL	393599
x	F7	365
x	RR	179
x	R7	0
x	NH	82478
x	H7	280
x	BT	33824911843
x	B7	154540951
1	Rr	13932	1.505	2021
1	Rr	89380	9.656	2020
1	Rr	80088	8.652	2019
1	Rr	68927	7.446	2018
1	Rr	60168	6.500	2017
1	Rr	73316	7.920	2016
1	Rr	80796	8.728	2015
1	Rr	110773	11.967	2014
1	Rr	65173	7.041	2013
1	Rr	60742	6.562	2012
1	Rr	57015	6.159	2011
1	Rr	22139	2.392	2010
1	Rr	69710	7.531	2009
1	Rr	71820	7.759	2008
1	Rr	1700	0.184	2007
1	*BT	R	110773	2014
Q	Rr	13932	1.505	2021	1
Q	Rr	22199	2.398	2020	4
Q	Rr	23882	2.580	2020	3
Q	Rr	21656	2.339	2020	2
Q	Rr	21643	2.338	2020	1
Q	Rr	19098	2.063	2019	4
Q	Rr	19668	2.125	2019	3
Q	Rr	19827	2.142	2019	2
Q	Rr	21495	2.322	2019	1
Q	Rr	18129	1.958	2018	4
Q	Rr	17138	1.851	2018	3
Q	Rr	16928	1.829	2018	2
Q	Rr	16732	1.808	2018	1
Q	Rr	15937	1.722	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.818	2017	2
Q	Rr	27400	2.960	2017	1
Q	Rr	22114	2.389	2016	4
Q	Rr	17621	1.904	2016	3
Q	Rr	15878	1.715	2016	2
Q	Rr	17703	1.912	2016	1
Q	Rr	16575	1.791	2015	4
Q	Rr	22104	2.388	2015	3
Q	Rr	22485	2.429	2015	2
Q	Rr	19632	2.121	2015	1
Q	Rr	21142	2.284	2014	4
Q	Rr	22272	2.406	2014	3
Q	Rr	31453	3.398	2014	2
Q	Rr	35906	3.879	2014	1
Q	Rr	16436	1.776	2013	4
Q	Rr	15216	1.644	2013	3
Q	Rr	16545	1.787	2013	2
Q	Rr	16976	1.834	2013	1
Q	Rr	16578	1.791	2012	4
Q	Rr	12511	1.352	2012	3
Q	Rr	15816	1.709	2012	2
Q	Rr	15837	1.711	2012	1
Q	Rr	15444	1.668	2011	4
Q	Rr	17386	1.878	2011	3
Q	Rr	9395	1.015	2011	2
Q	Rr	14790	1.598	2011	1
Q	Rr	1603	0.173	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.517	2010	2
Q	Rr	6489	0.701	2010	1
Q	Rr	16350	1.766	2009	4
Q	Rr	18220	1.968	2009	3
Q	Rr	17115	1.849	2009	2
Q	Rr	18025	1.947	2009	1
Q	Rr	15905	1.718	2008	4
Q	Rr	15660	1.692	2008	3
Q	Rr	22448	2.425	2008	2
Q	Rr	17807	1.924	2008	1
Q	Rr	1700	0.184	2007	4
Q	*BT	R	35906	2014	1
m	Rr	1618	0.175	2021	03
m	Rr	5800	0.627	2021	02
m	Rr	6514	0.704	2021	01
m	Rr	8069	0.872	2020	12
m	Rr	6579	0.711	2020	11
m	Rr	7551	0.816	2020	10
m	Rr	8028	0.867	2020	09
