x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	04	11	06	07
x	FR	2007	12	18	17	05
x	LR	2021	04	09	23	57
x	E7	2021	04	11	06	07
x	SR	935185
x	S7	2648
x	NC	379464
x	C7	0
x	FL	395183
x	F7	372
x	RR	179
x	R7	0
x	NH	83166
x	H7	312
x	BT	34379095420
x	B7	124228751
1	Rr	23438	2.506	2021
1	Rr	89380	9.557	2020
1	Rr	80088	8.564	2019
1	Rr	68927	7.370	2018
1	Rr	60168	6.434	2017
1	Rr	73316	7.840	2016
1	Rr	80796	8.640	2015
1	Rr	110773	11.845	2014
1	Rr	65173	6.969	2013
1	Rr	60742	6.495	2012
1	Rr	57015	6.097	2011
1	Rr	22139	2.367	2010
1	Rr	69710	7.454	2009
1	Rr	71820	7.680	2008
1	Rr	1700	0.182	2007
1	*BT	R	110773	2014
Q	Rr	3176	0.340	2021	2
Q	Rr	20262	2.167	2021	1
Q	Rr	22199	2.374	2020	4
Q	Rr	23882	2.554	2020	3
Q	Rr	21656	2.316	2020	2
Q	Rr	21643	2.314	2020	1
Q	Rr	19098	2.042	2019	4
Q	Rr	19668	2.103	2019	3
Q	Rr	19827	2.120	2019	2
Q	Rr	21495	2.298	2019	1
Q	Rr	18129	1.939	2018	4
Q	Rr	17138	1.833	2018	3
Q	Rr	16928	1.810	2018	2
Q	Rr	16732	1.789	2018	1
Q	Rr	15937	1.704	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.800	2017	2
Q	Rr	27400	2.930	2017	1
Q	Rr	22114	2.365	2016	4
Q	Rr	17621	1.884	2016	3
Q	Rr	15878	1.698	2016	2
Q	Rr	17703	1.893	2016	1
Q	Rr	16575	1.772	2015	4
Q	Rr	22104	2.364	2015	3
Q	Rr	22485	2.404	2015	2
Q	Rr	19632	2.099	2015	1
Q	Rr	21142	2.261	2014	4
Q	Rr	22272	2.382	2014	3
Q	Rr	31453	3.363	2014	2
Q	Rr	35906	3.839	2014	1
Q	Rr	16436	1.758	2013	4
Q	Rr	15216	1.627	2013	3
Q	Rr	16545	1.769	2013	2
Q	Rr	16976	1.815	2013	1
Q	Rr	16578	1.773	2012	4
Q	Rr	12511	1.338	2012	3
Q	Rr	15816	1.691	2012	2
Q	Rr	15837	1.693	2012	1
Q	Rr	15444	1.651	2011	4
Q	Rr	17386	1.859	2011	3
Q	Rr	9395	1.005	2011	2
Q	Rr	14790	1.582	2011	1
Q	Rr	1603	0.171	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.502	2010	2
Q	Rr	6489	0.694	2010	1
Q	Rr	16350	1.748	2009	4
Q	Rr	18220	1.948	2009	3
Q	Rr	17115	1.830	2009	2
Q	Rr	18025	1.927	2009	1
Q	Rr	15905	1.701	2008	4
Q	Rr	15660	1.675	2008	3
Q	Rr	22448	2.400	2008	2
Q	Rr	17807	1.904	2008	1
Q	Rr	1700	0.182	2007	4
Q	*BT	R	35906	2014	1
m	Rr	3176	0.340	2021	04
m	Rr	7948	0.850	2021	03
m	Rr	5800	0.620	2021	02
m	Rr	6514	0.697	2021	01
m	Rr	8069	0.863	2020	12
m	Rr	6579	0.703	2020	11
m	Rr	7551	0.807	2020	10
m	Rr	8028	0.858	2020	09
m	Rr	7741	0.828	2020	08
m	Rr	8113	0.868	2020	07
m	Rr	7317	0.782	2020	06
m	Rr	6898	0.738	2020	05
m	Rr	7441	0.796	2020	04
m	Rr	7524	0.805	2020	03
m	Rr	7322	0.783	2020	02
m	Rr	6797	0.727	2020	01
m	Rr	6573	0.703	2019	12
m	Rr	5917	0.633	2019	11
m	Rr	6608	0.707	2019	10
m	Rr	6791	0.726	2019	09
m	Rr	6597	0.705	2019	08
m	Rr	6280	0.672	2019	07
m	Rr	6317	0.675	2019	06
m	Rr	6847	0.732	2019	05
m	Rr	6663	0.712	2019	04
m	Rr	7059	0.755	2019	03
m	Rr	6374	0.682	2019	02
m	Rr	8062	0.862	2019	01
m	Rr	6957	0.744	2018	12
m	Rr	5422	0.580	2018	11
m	Rr	5750	0.615	2018	10
m	Rr	5458	0.584	2018	09
m	Rr	5735	0.613	2018	08
m	Rr	5945	0.636	2018	07
m	Rr	7110	0.760	2018	06
m	Rr	6440	0.689	2018	05
m	Rr	3378	0.361	2018	04
m	Rr	5789	0.619	2018	03
m	Rr	5369	0.574	2018	02
m	Rr	5574	0.596	2018	01
m	Rr	3906	0.418	2017	12
m	Rr	6533	0.699	2017	11
m	Rr	5498	0.588	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.731	2017	05
m	Rr	9999	1.069	2017	04
m	Rr	11887	1.271	2017	03
m	Rr	7941	0.849	2017	02
m	Rr	7572	0.810	2017	01
m	Rr	9483	1.014	2016	12
m	Rr	7121	0.761	2016	11
m	Rr	5510	0.589	2016	10
m	Rr	6288	0.672	2016	09
m	Rr	5888	0.630	2016	08
m	Rr	5445	0.582	2016	07
m	Rr	5042	0.539	2016	06
m	Rr	5495	0.588	2016	05
m	Rr	5341	0.571	2016	04
m	Rr	5558	0.594	2016	03
m	Rr	5548	0.593	2016	02
m	Rr	6597	0.705	2016	01
m	Rr	5574	0.596	2015	12
m	Rr	5330	0.570	2015	11
m	Rr	5671	0.606	2015	10
m	Rr	6196	0.663	2015	09
m	Rr	6788	0.726	2015	08
m	Rr	9120	0.975	2015	07
m	Rr	7156	0.765	2015	06
m	Rr	5694	0.609	2015	05
m	Rr	9635	1.030	2015	04
m	Rr	6215	0.665	2015	03
m	Rr	6084	0.651	2015	02
m	Rr	7333	0.784	2015	01
m	Rr	6608	0.707	2014	12
m	Rr	6997	0.748	2014	11
m	Rr	7537	0.806	2014	10
m	Rr	7043	0.753	2014	09
m	Rr	7324	0.783	2014	08
m	Rr	7905	0.845	2014	07
m	Rr	11654	1.246	2014	06
m	Rr	9211	0.985	2014	05
m	Rr	10588	1.132	2014	04
m	Rr	7817	0.836	2014	03
m	Rr	15229	1.628	2014	02
m	Rr	12860	1.375	2014	01
m	Rr	5325	0.569	2013	12
m	Rr	5513	0.590	2013	11
m	Rr	5598	0.599	2013	10
m	Rr	4655	0.498	2013	09
m	Rr	4938	0.528	2013	08
m	Rr	5623	0.601	2013	07
m	Rr	5492	0.587	2013	06
m	Rr	5211	0.557	2013	05
m	Rr	5842	0.625	2013	04
m	Rr	6068	0.649	2013	03
m	Rr	5055	0.541	2013	02
m	Rr	5853	0.626	2013	01
m	Rr	5688	0.608	2012	12
m	Rr	5477	0.586	2012	11
m	Rr	5413	0.579	2012	10
m	Rr	4331	0.463	2012	09
m	Rr	3866	0.413	2012	08
m	Rr	4314	0.461	2012	07
m	Rr	4655	0.498	2012	06
m	Rr	6047	0.647	2012	05
m	Rr	5114	0.547	2012	04
m	Rr	6128	0.655	2012	03
m	Rr	5430	0.581	2012	02
m	Rr	4279	0.458	2012	01
m	Rr	5548	0.593	2011	12
m	Rr	4779	0.511	2011	11
m	Rr	5117	0.547	2011	10
m	Rr	5431	0.581	2011	09
m	Rr	6256	0.669	2011	08
m	Rr	5699	0.609	2011	07
m	Rr	5420	0.580	2011	06
m	Rr	3975	0.425	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.386	2011	03
m	Rr	5171	0.553	2011	02
m	Rr	6011	0.643	2011	01
m	Rr	1603	0.171	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.439	2010	06
m	Rr	5018	0.537	2010	05
m	Rr	4928	0.527	2010	04
m	Rr	5095	0.545	2010	03
m	Rr	1394	0.149	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.499	2009	12
m	Rr	6187	0.662	2009	11
m	Rr	5498	0.588	2009	10
m	Rr	5066	0.542	2009	09
m	Rr	5718	0.611	2009	08
m	Rr	7436	0.795	2009	07
m	Rr	5685	0.608	2009	06
m	Rr	6120	0.654	2009	05
m	Rr	5310	0.568	2009	04
m	Rr	5515	0.590	2009	03
m	Rr	6123	0.655	2009	02
m	Rr	6387	0.683	2009	01
m	Rr	5763	0.616	2008	12
m	Rr	5420	0.580	2008	11
m	Rr	4722	0.505	2008	10
m	Rr	5435	0.581	2008	09
m	Rr	4843	0.518	2008	08
m	Rr	5382	0.576	2008	07
m	Rr	6082	0.650	2008	06
m	Rr	9946	1.064	2008	05
m	Rr	6420	0.686	2008	04
m	Rr	5431	0.581	2008	03
m	Rr	6469	0.692	2008	02
m	Rr	5907	0.632	2008	01
m	Rr	1700	0.182	2007	12
m	*BT	R	15229	2014	02
W	Rr	2709	0.290	2021	04	04
W	Rr	1942	0.208	2021	03	28
W	Rr	1666	0.178	2021	03	21
W	Rr	1476	0.158	2021	03	14
W	Rr	1713	0.183	2021	03	07
W	Rr	1777	0.190	2021	02	28
W	Rr	1173	0.125	2021	02	21
W	Rr	1101	0.118	2021	02	14
W	Rr	1699	0.182	2021	02	07
W	Rr	1867	0.200	2021	01	31
W	Rr	1404	0.150	2021	01	24
W	Rr	1564	0.167	2021	01	17
W	Rr	1431	0.153	2021	01	10
W	Rr	1666	0.178	2021	01	03
W	Rr	1926	0.206	2020	12	27
W	Rr	1572	0.168	2020	12	20
W	Rr	1404	0.150	2020	12	13
W	Rr	2272	0.243	2020	12	06
W	Rr	1522	0.163	2020	11	29
W	Rr	1722	0.184	2020	11	22
W	Rr	1580	0.169	2020	11	15
W	Rr	1401	0.150	2020	11	08
W	Rr	1499	0.160	2020	11	01
W	Rr	1470	0.157	2020	10	25
W	Rr	2379	0.254	2020	10	18
W	Rr	1559	0.167	2020	10	11
W	Rr	1729	0.185	2020	10	04
W	Rr	1674	0.179	2020	09	27
W	Rr	1786	0.191	2020	09	20
W	Rr	2200	0.235	2020	09	13
W	Rr	1677	0.179	2020	09	06
W	Rr	1596	0.171	2020	08	30
W	Rr	1833	0.196	2020	08	23
W	Rr	1814	0.194	2020	08	16
W	Rr	2206	0.236	2020	08	09
W	Rr	1397	0.149	2020	08	02
W	Rr	1816	0.194	2020	07	26
W	Rr	1949	0.208	2020	07	19
W	Rr	1532	0.164	2020	07	12
W	Rr	1976	0.211	2020	07	05
W	Rr	1600	0.171	2020	06	28
W	Rr	1627	0.174	2020	06	21
W	Rr	2101	0.225	2020	06	14
W	Rr	1590	0.170	2020	06	07
W	Rr	1492	0.160	2020	05	31
W	Rr	1556	0.166	2020	05	24
W	Rr	1756	0.188	2020	05	17
W	Rr	1568	0.168	2020	05	10
W	Rr	1567	0.168	2020	05	03
W	Rr	1734	0.185	2020	04	26
W	Rr	1675	0.179	2020	04	19
W	Rr	1702	0.182	2020	04	12
W	Rr	1965	0.210	2020	04	05
W	Rr	1329	0.142	2020	03	29
W	Rr	1818	0.194	2020	03	22
W	Rr	1345	0.144	2020	03	15
W	Rr	1581	0.169	2020	03	08
W	Rr	2014	0.215	2020	03	01
W	Rr	1942	0.208	2020	02	23
W	Rr	1748	0.187	2020	02	16
W	Rr	1949	0.208	2020	02	09
W	Rr	1683	0.180	2020	02	02
W	Rr	1436	0.154	2020	01	26
W	Rr	1792	0.192	2020	01	19
