x	VE	analog 5.24
x	HN	gtaeronautics.com
x	PS	2021	10	03	05	44
x	FR	2007	12	18	17	05
x	LR	2021	10	01	23	54
x	E7	2021	10	03	05	44
x	SR	989704
x	S7	1567
x	NC	391788
x	C7	0
x	FL	407498
x	F7	742
x	RR	183
x	R7	0
x	NH	87420
x	H7	360
x	BT	37821149048
x	B7	133891846
1	Rr	77957	7.877	2021
1	Rr	89380	9.031	2020
1	Rr	80088	8.092	2019
1	Rr	68927	6.964	2018
1	Rr	60168	6.079	2017
1	Rr	73316	7.408	2016
1	Rr	80796	8.164	2015
1	Rr	110773	11.193	2014
1	Rr	65173	6.585	2013
1	Rr	60742	6.137	2012
1	Rr	57015	5.761	2011
1	Rr	22139	2.237	2010
1	Rr	69710	7.044	2009
1	Rr	71820	7.257	2008
1	Rr	1700	0.172	2007
1	*BT	R	110773	2014
Q	Rr	194	0.020	2021	4
Q	Rr	26826	2.711	2021	3
Q	Rr	30675	3.099	2021	2
Q	Rr	20262	2.047	2021	1
Q	Rr	22199	2.243	2020	4
Q	Rr	23882	2.413	2020	3
Q	Rr	21656	2.188	2020	2
Q	Rr	21643	2.187	2020	1
Q	Rr	19098	1.930	2019	4
Q	Rr	19668	1.987	2019	3
Q	Rr	19827	2.003	2019	2
Q	Rr	21495	2.172	2019	1
Q	Rr	18129	1.832	2018	4
Q	Rr	17138	1.732	2018	3
Q	Rr	16928	1.710	2018	2
Q	Rr	16732	1.691	2018	1
Q	Rr	15937	1.610	2017	4
Q	Rr	0	0.000	2017	3
Q	Rr	16831	1.701	2017	2
Q	Rr	27400	2.769	2017	1
Q	Rr	22114	2.234	2016	4
Q	Rr	17621	1.780	2016	3
Q	Rr	15878	1.604	2016	2
Q	Rr	17703	1.789	2016	1
Q	Rr	16575	1.675	2015	4
Q	Rr	22104	2.233	2015	3
Q	Rr	22485	2.272	2015	2
Q	Rr	19632	1.984	2015	1
Q	Rr	21142	2.136	2014	4
Q	Rr	22272	2.250	2014	3
Q	Rr	31453	3.178	2014	2
Q	Rr	35906	3.628	2014	1
Q	Rr	16436	1.661	2013	4
Q	Rr	15216	1.537	2013	3
Q	Rr	16545	1.672	2013	2
Q	Rr	16976	1.715	2013	1
Q	Rr	16578	1.675	2012	4
Q	Rr	12511	1.264	2012	3
Q	Rr	15816	1.598	2012	2
Q	Rr	15837	1.600	2012	1
Q	Rr	15444	1.560	2011	4
Q	Rr	17386	1.757	2011	3
Q	Rr	9395	0.949	2011	2
Q	Rr	14790	1.494	2011	1
Q	Rr	1603	0.162	2010	4
Q	Rr	0	0.000	2010	3
Q	Rr	14047	1.419	2010	2
Q	Rr	6489	0.656	2010	1
Q	Rr	16350	1.652	2009	4
Q	Rr	18220	1.841	2009	3
Q	Rr	17115	1.729	2009	2
Q	Rr	18025	1.821	2009	1
Q	Rr	15905	1.607	2008	4
Q	Rr	15660	1.582	2008	3
Q	Rr	22448	2.268	2008	2
Q	Rr	17807	1.799	2008	1
Q	Rr	1700	0.172	2007	4
Q	*BT	R	35906	2014	1
m	Rr	194	0.020	2021	10
m	Rr	6059	0.612	2021	09
m	Rr	9092	0.919	2021	08
m	Rr	11675	1.180	2021	07
m	Rr	10152	1.026	2021	06
m	Rr	10231	1.034	2021	05
m	Rr	10292	1.040	2021	04
m	Rr	7948	0.803	2021	03
m	Rr	5800	0.586	2021	02
m	Rr	6514	0.658	2021	01
m	Rr	8069	0.815	2020	12
m	Rr	6579	0.665	2020	11
m	Rr	7551	0.763	2020	10
m	Rr	8028	0.811	2020	09
m	Rr	7741	0.782	2020	08
m	Rr	8113	0.820	2020	07
m	Rr	7317	0.739	2020	06
m	Rr	6898	0.697	2020	05
m	Rr	7441	0.752	2020	04
m	Rr	7524	0.760	2020	03
m	Rr	7322	0.740	2020	02
m	Rr	6797	0.687	2020	01
m	Rr	6573	0.664	2019	12
m	Rr	5917	0.598	2019	11
m	Rr	6608	0.668	2019	10
m	Rr	6791	0.686	2019	09
m	Rr	6597	0.667	2019	08
m	Rr	6280	0.635	2019	07
m	Rr	6317	0.638	2019	06
m	Rr	6847	0.692	2019	05
m	Rr	6663	0.673	2019	04
m	Rr	7059	0.713	2019	03
m	Rr	6374	0.644	2019	02
m	Rr	8062	0.815	2019	01
m	Rr	6957	0.703	2018	12
m	Rr	5422	0.548	2018	11
m	Rr	5750	0.581	2018	10
m	Rr	5458	0.551	2018	09
m	Rr	5735	0.579	2018	08
m	Rr	5945	0.601	2018	07
m	Rr	7110	0.718	2018	06
m	Rr	6440	0.651	2018	05
m	Rr	3378	0.341	2018	04
m	Rr	5789	0.585	2018	03
m	Rr	5369	0.542	2018	02
m	Rr	5574	0.563	2018	01
m	Rr	3906	0.395	2017	12
m	Rr	6533	0.660	2017	11
m	Rr	5498	0.556	2017	10
m	Rr	0	0.000	2017	09
m	Rr	0	0.000	2017	08
m	Rr	0	0.000	2017	07
m	Rr	0	0.000	2017	06
m	Rr	6832	0.690	2017	05
m	Rr	9999	1.010	2017	04
m	Rr	11887	1.201	2017	03
m	Rr	7941	0.802	2017	02
m	Rr	7572	0.765	2017	01
m	Rr	9483	0.958	2016	12
m	Rr	7121	0.720	2016	11
m	Rr	5510	0.557	2016	10
m	Rr	6288	0.635	2016	09
m	Rr	5888	0.595	2016	08
m	Rr	5445	0.550	2016	07
m	Rr	5042	0.509	2016	06
m	Rr	5495	0.555	2016	05
m	Rr	5341	0.540	2016	04
m	Rr	5558	0.562	2016	03
m	Rr	5548	0.561	2016	02
m	Rr	6597	0.667	2016	01
m	Rr	5574	0.563	2015	12
m	Rr	5330	0.539	2015	11
m	Rr	5671	0.573	2015	10
m	Rr	6196	0.626	2015	09
m	Rr	6788	0.686	2015	08
m	Rr	9120	0.921	2015	07
m	Rr	7156	0.723	2015	06
m	Rr	5694	0.575	2015	05
m	Rr	9635	0.974	2015	04
m	Rr	6215	0.628	2015	03
m	Rr	6084	0.615	2015	02
m	Rr	7333	0.741	2015	01
m	Rr	6608	0.668	2014	12
m	Rr	6997	0.707	2014	11
m	Rr	7537	0.762	2014	10
m	Rr	7043	0.712	2014	09
m	Rr	7324	0.740	2014	08
m	Rr	7905	0.799	2014	07
m	Rr	11654	1.178	2014	06
m	Rr	9211	0.931	2014	05
m	Rr	10588	1.070	2014	04
m	Rr	7817	0.790	2014	03
m	Rr	15229	1.539	2014	02
m	Rr	12860	1.299	2014	01
m	Rr	5325	0.538	2013	12
m	Rr	5513	0.557	2013	11
m	Rr	5598	0.566	2013	10
m	Rr	4655	0.470	2013	09
m	Rr	4938	0.499	2013	08
m	Rr	5623	0.568	2013	07
m	Rr	5492	0.555	2013	06
m	Rr	5211	0.527	2013	05
m	Rr	5842	0.590	2013	04
m	Rr	6068	0.613	2013	03
m	Rr	5055	0.511	2013	02
m	Rr	5853	0.591	2013	01
m	Rr	5688	0.575	2012	12
m	Rr	5477	0.553	2012	11
m	Rr	5413	0.547	2012	10
m	Rr	4331	0.438	2012	09
m	Rr	3866	0.391	2012	08
m	Rr	4314	0.436	2012	07
m	Rr	4655	0.470	2012	06
m	Rr	6047	0.611	2012	05
m	Rr	5114	0.517	2012	04
m	Rr	6128	0.619	2012	03
m	Rr	5430	0.549	2012	02
m	Rr	4279	0.432	2012	01
m	Rr	5548	0.561	2011	12
m	Rr	4779	0.483	2011	11
m	Rr	5117	0.517	2011	10
m	Rr	5431	0.549	2011	09
m	Rr	6256	0.632	2011	08
m	Rr	5699	0.576	2011	07
m	Rr	5420	0.548	2011	06
m	Rr	3975	0.402	2011	05
m	Rr	0	0.000	2011	04
m	Rr	3608	0.365	2011	03
m	Rr	5171	0.522	2011	02
m	Rr	6011	0.607	2011	01
m	Rr	1603	0.162	2010	12
m	Rr	0	0.000	2010	11
m	Rr	0	0.000	2010	10
m	Rr	0	0.000	2010	09
m	Rr	0	0.000	2010	08
m	Rr	0	0.000	2010	07
m	Rr	4101	0.414	2010	06
m	Rr	5018	0.507	2010	05
m	Rr	4928	0.498	2010	04
m	Rr	5095	0.515	2010	03
m	Rr	1394	0.141	2010	02
m	Rr	0	0.000	2010	01
m	Rr	4665	0.471	2009	12
m	Rr	6187	0.625	2009	11
m	Rr	5498	0.556	2009	10
m	Rr	5066	0.512	2009	09
m	Rr	5718	0.578	2009	08
m	Rr	7436	0.751	2009	07
m	Rr	5685	0.574	2009	06
m	Rr	6120	0.618	2009	05
m	Rr	5310	0.537	2009	04
m	Rr	5515	0.557	2009	03
m	Rr	6123	0.619	2009	02
m	Rr	6387	0.645	2009	01
m	Rr	5763	0.582	2008	12
m	Rr	5420	0.548	2008	11
m	Rr	4722	0.477	2008	10
m	Rr	5435	0.549	2008	09
m	Rr	4843	0.489	2008	08
m	Rr	5382	0.544	2008	07
m	Rr	6082	0.615	2008	06
m	Rr	9946	1.005	2008	05
m	Rr	6420	0.649	2008	04
m	Rr	5431	0.549	2008	03
m	Rr	6469	0.654	2008	02
m	Rr	5907	0.597	2008	01
m	Rr	1700	0.172	2007	12
m	*BT	R	15229	2014	02
W	Rr	1598	0.161	2021	09	26
W	Rr	1646	0.166	2021	09	19
W	Rr	1203	0.122	2021	09	12
W	Rr	1106	0.112	2021	09	05
W	Rr	1383	0.140	2021	08	29
W	Rr	1685	0.170	2021	08	22
W	Rr	2071	0.209	2021	08	15
W	Rr	2279	0.230	2021	08	08
W	Rr	2374	0.240	2021	08	01
W	Rr	2543	0.257	2021	07	25
W	Rr	2843	0.287	2021	07	18
W	Rr	2777	0.281	2021	07	11
W	Rr	2756	0.278	2021	07	04
W	Rr	2524	0.255	2021	06	27
W	Rr	2466	0.249	2021	06	20
W	Rr	2262	0.229	2021	06	13
W	Rr	2264	0.229	2021	06	06
W	Rr	2101	0.212	2021	05	30
W	Rr	3009	0.304	2021	05	23
W	Rr	1989	0.201	2021	05	16
W	Rr	2386	0.241	2021	05	09
W	Rr	2138	0.216	2021	05	02
W	Rr	1668	0.169	2021	04	25
W	Rr	2413	0.244	2021	04	18
W	Rr	3035	0.307	2021	04	11
W	Rr	2709	0.274	2021	04	04
W	Rr	1942	0.196	2021	03	28
W	Rr	1666	0.168	2021	03	21
W	Rr	1476	0.149	2021	03	14
W	Rr	1713	0.173	2021	03	07
W	Rr	1777	0.180	2021	02	28
W	Rr	1173	0.119	2021	02	21
W	Rr	1101	0.111	2021	02	14
W	Rr	1699	0.172	2021	02	07
W	Rr	1867	0.189	2021	01	31
W	Rr	1404	0.142	2021	01	24
W	Rr	1564	0.158	2021	01	17
W	Rr	1431	0.145	2021	01	10
W	Rr	1666	0.168	2021	01	03
W	Rr	1926	0.195	2020	12	27
W	Rr	1572	0.159	2020	12	20
W	Rr	1404	0.142	2020	12	13
W	Rr	2272	0.230	2020	12	06
W	Rr	1522	0.154	2020	11	29
W	Rr	1722	0.174	2020	11	22
W	Rr	1580	0.160	2020	11	15
W	Rr	1401	0.142	2020	11	08
W	Rr	1499	0.151	2020	11	01
W	Rr	1470	0.149	2020	10	25
W	Rr	2379	0.240	2020	10	18
W	Rr	1559	0.158	2020	10	11
W	Rr	1729	0.175	2020	10	04
W	Rr	1674	0.169	2020	09	27
W	Rr	1786	0.180	2020	09	20
W	Rr	2200	0.222	2020	09	13
W	Rr	1677	0.169	2020	09	06
